# Nagalakshmi et al. Science 6 June 2008 DOI: 10.1126/science.1158441
# Table S4: All ORF annotations by RNA SEQ
orf	transcript.level.log2
YDR223W	2.321928095
YDR224C	9.086136225
YDR225W	8.923327485
YDR226W	8.758223215
YDR227W	3.857980995
YDR228C	3.459431619
YDR229W	NA
YDR230W	NA
YDR231C	NA
YDR232W	4.459431619
YDR233C	6.894817763
YDR234W	3.700439718
YDR235W	NA
YDR236C	NA
YDR237W	5.044394119
YDR238C	6.400879436
YDR239C	3.247927513
YDR241W	6.033423002
YDR240C	4.977279923
YDR242W	NA
YDR243C	NA
YDR244W	0
YDR245W	5.169925001
YDR246W	3.321928095
YDR246W-A	1
YDR247W	3.584962501
YDR248C	6.312882955
YDR249C	2
YDR250C	0
YDR251W	4.129283017
YDR252W	3
YDR253C	5.392317423
YDR254W	NA
YDR255C	NA
YDR256C	0
YDR257C	4.129283017
YDR258C	7.761551232
YDR259C	3
YDR260C	2.807354922
YDR261C	4.554588852
YDR262W	4.321928095
YDR263C	2.807354922
YDR264C	5.700439718
YDR265W	3.857980995
YDR266C	4.491853096
YDR267C	4.832890014
YDR268W	3.247927513
YDR270W	NA
YDR269C	NA
YDR271C	NA
YDR272W	5.930737338
YDR273W	2.459431619
YDR274C	1
YDR275W	3.169925001
YDR276C	9.599912842
YDR277C	2.700439718
YDR278C	0
YDR279W	4.64385619
YDR280W	4.754887502
YDR281C	3.700439718
YDR282C	2.321928095
YDR283C	3
YDR284C	6.303780748
YDR285W	2.584962501
YDR286C	4.523561956
YDR287W	2.321928095
YDR288W	5.129283017
YDR290W	NA
YDR289C	5.285402219
YDR291W	3.459431619
YDR292C	6.686500527
YDR293C	5.64385619
YDR294C	5.339850003
YDR295C	3
YDR296W	5.129283017
YDR297W	5.64385619
YDR298C	6.357552005
YDR299W	4.392317423
YDR300C	3.857980995
YDR301W	3.95419631
YDR302W	3.584962501
YDR303C	3.169925001
YDR304C	7.447083226
YDR305C	5.339850003
YDR306C	3.64385619
YDR307W	4.491853096
YDR308C	4.832890014
YDR309C	5.727920455
YDR310C	4.523561956
YDR311W	5.06608919
YDR312W	5.022367813
YDR313C	3.584962501
YDR314C	2.584962501
YDR315C	2.807354922
YDR316W	3.087462841
YDR317W	1.321928095
YDR318W	NA
YDR319C	NA
YDR320C	3.700439718
YDR320W-B	NA
YDR320C-A	6.366322214
YDR321W	6.257387843
YDR322W	4.584962501
YDR322C-A	5.189824559
YDR323C	2
YDR324C	5.375039431
YDR325W	2
YDR326C	0.584962501
YDR327W	NA
YDR328C	NA
YDR329C	4.906890596
YDR330W	4.700439718
YDR331W	4.169925001
YDR332W	4.426264755
YDR333C	5.108524457
YDR334W	3.459431619
YDR335W	6.108524457
YDR336W	3.906890596
YDR337W	4.459431619
YDR338C	1.807354922
YDR339C	5.64385619
YDR340W	NA
YDR341C	6.515699838
YDR342C	NA
YDR343C	NA
YDR344C	0
YDR345C	7.845490051
YDR346C	6.426264755
YDR347W	5.64385619
YDR348C	5.339850003
YDR349C	6.055282436
YDR350C	3.459431619
YDR351W	4.247927513
YDR352W	3.247927513
YDR353W	8.01402047
YDR354W	5.475733431
YDR354C-A	NA
YDR356W	2.906890596
YDR355C	NA
YDR357C	5.942514505
YDR358W	3
YDR360W	NA
YDR359C	2.906890596
YDR361C	4.781359714
YDR362C	4
YDR363W	3.247927513
YDR363W-A	6.8008999
YDR364C	2.906890596
YDR365C	7.495855027
YDR366C	NA
YDR367W	6.209453366
YDR368W	5.044394119
YDR369C	3.700439718
YDR370C	5.189824559
YDR371W	5.768184325
YDR371C-A	NA
YDR372C	6.807354922
YDR373W	6.033423002
YDR374C	2
YDR374W-A	4.832890014
YDR375C	4.426264755
YDR376W	3.754887502
YDR377W	6.238404739
YDR378C	7.092757141
YDR379W	NA
YDR379C-A	NA
YDR380W	2.584962501
YDR381W	6.74819285
YDR381C-A	5.06608919
YDR382W	10.14338321
YDR383C	6.189824559
YDR384C	4.807354922
YDR385W	NA
YDR386W	3.700439718
YDR387C	4.087462841
YDR388W	6.54689446
YDR389W	3.459431619
YDR390C	6.257387843
YDR391C	5.087462841
YDR392W	4.392317423
YDR393W	4.209453366
YDR394W	6.761551232
YDR395W	5.459431619
YDR396W	NA
YDR397C	NA
YDR398W	5.209453366
YDR399W	7.28077077
YDR400W	4.129283017
YDR401W	NA
YDR402C	NA
YDR403W	1.584962501
YDR404C	5.87036472
YDR405W	4.727920455
YDR406W	NA
YDR406W-A	NA
YDR407C	NA
YDR408C	5.95419631
YDR409W	3
YDR410C	5
YDR411C	4.523561956
YDR412W	NA
YDR413C	NA
YDR414C	5.044394119
YDR415C	3.459431619
YDR416W	4.64385619
YDR418W	9.458406613
YDR417C	NA
YDR419W	1
YDR420W	3
YDR421W	5
YDR422C	4.169925001
YDR423C	4.614709844
YDR424C	6.22881869
YDR425W	NA
YDR426C	NA
YDR427W	NA
YDR428C	NA
YDR429C	8.199672345
YDR431W	NA
YDR430C	1.584962501
YDR432W	NA
YDR433W	NA
YDR434W	6.426264755
YDR435C	4.285402219
YDR436W	2.700439718
YDR437W	2.807354922
YDR438W	2
YDR439W	3
YDR440W	3.584962501
YDR441C	4.044394119
YDR442W	NA
YDR443C	NA
YDR444W	NA
YDR445C	NA
YDR446W	5.129283017
YDR447C	10.71853288
YDR448W	2.807354922
YDR449C	4.614709844
YDR450W	10.29347165
YDR451C	3.459431619
YDR452W	6.108524457
YDR453C	4.491853096
YDR454C	7.592457037
YDR456W	4.087462841
YDR455C	0
YDR457W	5.339850003
YDR458C	4.169925001
YDR459C	3.64385619
YDR460W	3.087462841
YDR461W	8.731319031
YDR461C-A	4.727920455
YDR462W	5.129283017
YDR463W	5.475733431
YDR464W	3.087462841
YDR464C-A	NA
YDR465C	6.832890014
YDR466W	NA
YDR467C	NA
YDR468C	5.894817763
YDR469W	4.129283017
YDR470C	2
YDR471W	9.8587581
YDR472W	3.906890596
YDR473C	4.459431619
YDR475C	4.426264755
YDR476C	5.022367813
YDR477W	5.044394119
YDR478W	NA
YDR479C	NA
YDR480W	4.129283017
YDR481C	5.988684687
YDR482C	4.832890014
YDR483W	5.942514505
YDR484W	3.087462841
YDR485C	2.584962501
YDR486C	4.523561956
YDR487C	7.098032083
YDR488C	3.087462841
YDR489W	NA
YDR490C	NA
YDR492W	3.906890596
YDR491C	0
YDR493W	4.781359714
YDR494W	NA
YDR495C	NA
YDR496C	3.95419631
YDR497C	6.741466986
YDR498C	4.247927513
YDR499W	3.906890596
YDR500C	9.216745858
YDR501W	1.584962501
YDR502C	7.392317423
YDR503C	2.321928095
YDR504C	4.459431619
YDR505C	NA
YDR506C	2.459431619
YDR507C	3.700439718
YDR509W	1.584962501
YDR508C	5.539158811
YDR510W	NA
YDR510C-A	NA
YDR511W	NA
YDR513W	NA
YDR512C	NA
YDR514C	NA
YDR515W	3.459431619
YDR516C	6.426264755
YDR517W	6.022367813
YDR518W	5.87036472
YDR519W	6.139551352
YDR521W	NA
YDR520C	4.129283017
YDR522C	-1
YDR523C	0
YDR524C	3.392317423
YDR524W-C	11.19290922
YDR524C-B	10.64205169
YDR525W	0
YDR524C-A	NA
YDR525W-A	6.044394119
YDR527W	4.672425342
YDR526C	NA
YDR528W	3.807354922
YDR529C	6.651051691
YDR530C	5.022367813
YDR531W	NA
YDR532C	NA
YDR533C	4.64385619
YDR534C	-1
YDR535C	1.584962501
YDR536W	2.169925001
YDR538W	3.584962501
YDR537C	NA
YDR539W	3.95419631
YDR540C	3
YDR541C	4.672425342
YDR542W	NA
YDR543C	NA
YDR544C	NA
YDR545W	NA
YDR545C-A	NA
YIL177W-A	NA
YIL177C	NA
YIL176C	NA
YIL173W	NA
YIL171W-A	NA
YIL172C	NA
YIL169C	NA
YIL166C	2.700439718
YIL165C	4.977279923
YIL164C	NA
YIL163C	2
YIL162W	4.977279923
YIL161W	NA
YIL160C	NA
YIL159W	2.807354922
YIL158W	5.426264755
YIL156W-A	NA
YIL157C	4.807354922
YIL156W-B	5.569855608
YIL156W	3.169925001
YIL155C	3.459431619
YIL154C	6.011227255
YIL153W	4.807354922
YIL152W	NA
YIL151C	NA
YIL150C	0
YIL149C	4.523561956
YIL148W	10.19105921
YIL147C	4.832890014
YIL146C	3.169925001
YIL145C	5.266786541
YIL144W	4.357552005
YIL143C	4.64385619
YIL142W	6.483815777
YIL142C-A	NA
YIL141W	NA
YIL140W	2.459431619
YIL139C	2.321928095
YIL138C	5.918863237
YIL137C	4.392317423
YIL136W	4.700439718
YIL135C	4.523561956
YIL134C-A	1.321928095
YIL134W	5.108524457
YIL133C	8.103287808
YIL132C	3
YIL131C	3.247927513
YIL130W	3.321928095
YIL129C	3.807354922
YIL128W	4.781359714
YIL127C	5.14974712
YIL126W	5.129283017
YIL125W	4.857980995
YIL124W	6.64385619
YIL123W	7.21916852
YIL122W	2.807354922
YIL121W	4.754887502
YIL120W	2.321928095
YIL119C	4.882643049
YIL118W	5.554588852
YIL117C	5.50779464
YIL116W	6.17990909
YIL115W-A	NA
YIL115C	NA
YIL114C	3.169925001
YIL113W	3
YIL112W	4.044394119
YIL111W	7.129283017
YIL110W	5.554588852
YIL109C	7.118941073
YIL108W	4.169925001
YIL107C	4
YIL106W	4.392317423
YIL105W-A	NA
YIL105C	NA
YIL104C	3.700439718
YIL103W	4.357552005
YIL102C-A	3.247927513
YIL102C	0
YIL101C	2.321928095
YIL100W	NA
YIL100C-A	NA
YIL099W	1.584962501
YIL098C	4.554588852
YIL097W	3.807354922
YIL096C	4.129283017
YIL095W	3.700439718
YIL094C	7.312882955
YIL093C	3.584962501
YIL092W	NA
YIL091C	NA
YIL090W	4.614709844
YIL089W	1
YIL088C	6.22881869
YIL087C	4.169925001
YIL086C	NA
YIL085C	NA
YIL084C	0
YIL083C	4.584962501
YIL082W	NA
YIL079C	4.087462841
YIL078W	7.214319121
YIL077C	3.906890596
YIL076W	7.573647187
YIL075C	7.108524457
YIL074C	7.139551352
YIL073C	2.321928095
YIL072W	1.807354922
YIL071W-A	NA
YIL071C	NA
YIL070C	5.022367813
YIL069C	8.17990909
YIL068W-A	NA
YIL068C	NA
YIL066W-A	NA
YIL067C	4.044394119
YIL066C	1.584962501
YIL065C	4.930737338
YIL064W	NA
YIL063C	NA
YIL062C	7.918863237
YIL061C	2.459431619
YIL060W	NA
YIL058W	1
YIL059C	NA
YIL057C	0
YIL056W	4.672425342
YIL055C	3.857980995
YIL054W	0
YIL053W	9.21916852
YIL052C	10.18611424
YIL051C	9.469641817
YIL050W	3.584962501
YIL049W	3.321928095
YIL048W	3.64385619
YIL047C-A	NA
YIL047C	NA
YIL046W-A	0
YIL046W	3.64385619
YIL045W	4.247927513
YIL044C	6.076815597
YIL043C	7.266786541
YIL042C	3.584962501
YIL041W	7.154818109
YIL040W	5.189824559
YIL039W	3.321928095
YIL038C	5.06608919
YIL037C	0
YIL036W	5.442943496
YIL035C	3.95419631
YIL034C	5.930737338
YIL033C	5.832890014
YIL032C	0
YIL031W	NA
YIL030W-A	2.700439718
YIL029W-A	NA
YIL030C	4.781359714
YIL029C	3.321928095
YIL028W	2.459431619
YIL027C	5.584962501
YIL026C	2.584962501
YIL025C	0
YIL024C	NA
YIL023C	4.087462841
YIL022W	4.247927513
YIL021W	NA
YIL021C-A	NA
YIL020C-A	NA
YIL020C	NA
YIL019W	3.523561956
YIL018W	8.539158811
YIL017C	4.392317423
YIL016W	5.209453366
YIL015W	6.247927513
YIL014C-A	0
YIL014W	5.321928095
YIL013C	3.169925001
YIL012W	0
YIL011W	2.906890596
YIL010W	4.357552005
YIL009C-A	6.491853096
YIL009W	2.584962501
YIL008W	6.312882955
YIL007C	4.044394119
YIL006W	2.321928095
YIL005W	5.087462841
YIL004C	5.375039431
YIL003W	3.169925001
YIL002W-A	NA
YIL002C	NA
YIL001W	2.321928095
YIR001C	3.700439718
YIR002C	4.807354922
YIR003W	4.614709844
YIR004W	4.392317423
YIR005W	3
YIR006C	4.044394119
YIR007W	NA
YIR008C	NA
YIR009W	4.129283017
YIR010W	3.247927513
YIR011C	4
YIR012W	5.686500527
YIR013C	3.169925001
YIR014W	2
YIR015W	2
YIR016W	5.62935662
YIR017W-A	NA
YIR017C	NA
YIR018W	2.807354922
YIR018C-A	2.169925001
YIR019C	2.169925001
YIR020C	1
YIR020W-A	0
YIR021W	4.169925001
YIR020C-B	NA
YIR021W-A	NA
YIR022W	5.285402219
YIR023W	NA
YIR023C-A	NA
YIR024C	3.857980995
YIR025W	3.700439718
YIR026C	5.22881869
YIR027C	0
YIR028W	1.584962501
YIR029W	3
YIR030C	3.392317423
YIR030W-A	NA
YIR031C	NA
YIR032C	0
YIR033W	4.857980995
YIR034C	5.247927513
YIR035C	6.554588852
YIR036W-A	NA
YIR036C	4
YIR037W	7.515699838
YIR038C	5.169925001
YIR039C	4.459431619
YIR040C	NA
YIR041W	NA
YIR042C	1.584962501
Q0010	NA
Q0017	NA
Q0032	0
Q0050	NA
Q0055	NA
Q0070	NA
Q0045	2.321928095
Q0060	NA
Q0065	NA
Q0075	NA
Q0080	2.807354922
Q0085	3.169925001
Q0092	NA
Q0115	NA
Q0110	NA
Q0120	NA
Q0105	3.807354922
Q0130	4.321928095
Q0140	NA
Q0142	NA
Q0143	1.584962501
Q0144	0
Q0160	0
Q0182	2
Q0250	NA
Q0255	1
Q0275	2.321928095
Q0297	0
YEL077W-A	NA
YEL077C	NA
YEL075W-A	NA
YEL076C	NA
YEL076C-A	NA
YEL075C	NA
YEL074W	0
YEL073C	0
YEL072W	4.044394119
YEL071W	7.573647187
YEL070W	NA
YEL069C	NA
YEL068C	4.129283017
YEL066W	3.247927513
YEL067C	0
YEL065W	4.64385619
YEL064C	1.584962501
YEL063C	3.807354922
YEL062W	2.807354922
YEL061C	3
YEL060C	6.942514505
YEL059C-A	4.459431619
YEL059W	0
YEL058W	NA
YEL057C	NA
YEL056W	NA
YEL055C	NA
YEL053W-A	NA
YEL054C	8.285402219
YEL053C	4.169925001
YEL052W	4.930737338
YEL051W	8.144658243
YEL050W-A	NA
YEL050C	NA
YEL049W	NA
YEL048C	3
YEL047C	4.807354922
YEL046C	7.73470962
YEL045C	NA
YEL044W	5.169925001
YEL043W	4.977279923
YEL042W	5.918863237
YEL041W	-1
YEL040W	9.214319121
YEL039C	6.62935662
YEL038W	6.672425342
YEL037C	6.483815777
YEL036C	5.129283017
YEL035C	0
YEL034W	NA
YEL033W	NA
YEL034C-A	NA
YEL032W	3.584962501
YEL032C-A	NA
YEL031W	4.930737338
YEL030W	3.459431619
YEL030C-A	NA
YEL029C	5.658211483
YEL028W	3.247927513
YEL027W	8.920352855
YEL026W	8.659995892
YEL025C	5.044394119
YEL024W	5.714245518
YEL023C	1
YEL022W	4.95419631
YEL021W	0
YEL020W-A	NA
YEL020C-B	NA
YEL020C	2.459431619
YEL019C	1
YEL018W	4.491853096
YEL018C-A	NA
YEL017C-A	NA
YEL017W	NA
YEL016C	NA
YEL015W	NA
YEL014C	NA
YEL013W	4
YEL012W	4.491853096
YEL011W	6.17990909
YEL010W	NA
YEL009C-A	NA
YEL009C	8.645658432
YEL008W	NA
YEL008C-A	NA
YEL007W	5.044394119
YEL006W	4.129283017
YEL005C	3.906890596
YEL004W	3.523561956
YEL003W	5.794415866
YEL002C	6.665335917
YEL001C	5.409390936
YER001W	5.906890596
YER002W	6.693486957
YER003C	5.409390936
YER004W	6.098032083
YER005W	4
YER006W	NA
YER007W	5.832890014
YER006C-A	NA
YER007C-A	6.303780748
YER008C	4.523561956
YER009W	8.278449458
YER010C	7.199672345
YER011W	5.14974712
YER012W	5.50779464
YER013W	2.459431619
YER014W	NA
YER015W	3.321928095
YER014C-A	NA
YER016W	4.247927513
YER017C	3.906890596
YER018C	3
YER019W	NA
YER019C-A	NA
YER020W	5.06608919
YER021W	6.451211112
YER022W	4.857980995
YER023W	6.820178962
YER023C-A	NA
YER024W	2
YER025W	6.159871337
YER026C	5.459431619
YER027C	6.366322214
YER028C	4.584962501
YER029C	4.357552005
YER030W	7.011227255
YER031C	7.383704292
YER032W	3.247927513
YER033C	2
YER034W	3.584962501
YER035W	4.781359714
YER036C	7.611024797
YER037W	NA
YER038C	NA
YER038W-A	NA
YER039C	NA
YER039C-A	NA
YER040W	2.321928095
YER041W	3.087462841
YER042W	6.383704292
YER043C	6.46760555
YER044C	6.475733431
YER044C-A	-1
YER045C	3.906890596
YER046W	NA
YER046W-A	NA
YER047C	NA
YER048C	7.573647187
YER048W-A	5.392317423
YER049W	5.569855608
YER050C	6.451211112
YER051W	3.754887502
YER052C	6.787902559
YER053C	6.965784285
YER053C-A	4.614709844
YER054C	3.807354922
YER055C	7.933690655
YER056C	7.459431619
YER056C-A	9.027905997
YER057C	6.794415866
YER058W	4.209453366
YER059W	5.129283017
YER060W	4.169925001
YER060W-A	3.700439718
YER061C	4.807354922
YER062C	8.4325419
YER063W	4.807354922
YER064C	4.781359714
YER065C	2.807354922
YER066W	2.906890596
YER067W	NA
YER066C-A	0
YER067C-A	NA
YER068W	4.977279923
YER069W	3.087462841
YER068C-A	0
YER070W	5.539158811
YER071C	5.62935662
YER072W	10.18053081
YER073W	6.554588852
YER074W	9.674192268
YER074W-A	7.577428828
YER075C	1.584962501
YER076W-A	2.321928095
YER076C	0
YER077C	3.95419631
YER078C	4.044394119
YER078W-A	0
YER079W	6.707359132
YER080W	4.977279923
YER079C-A	NA
YER081W	5.087462841
YER082C	4.64385619
YER083C	6.820178962
YER084W	0
YER084W-A	NA
YER085C	NA
YER086W	5.918863237
YER087W	NA
YER087C-A	NA
YER087C-B	7.573647187
YER088C	6.21916852
YER088W-B	NA
YER088C-A	1.584962501
YER089C	NA
YER090W	5.475733431
YER090C-A	NA
YER091C	8.14974712
YER091C-A	0
YER092W	NA
YER093C	NA
YER093C-A	3
YER094C	8.162391329
YER095W	3.584962501
YER096W	0
YER097W	NA
YER098W	3.700439718
YER099C	6.864186145
YER100W	5.64385619
YER101C	3.459431619
YER102W	10.64925618
YER103W	8.292321633
YER104W	2.321928095
YER105C	4.700439718
YER106W	2.169925001
YER107W-A	5.266786541
YER107C	4.857980995
YER109C	2
YER110C	5.129283017
YER111C	2.584962501
YER112W	4.930737338
YER113C	2.321928095
YER114C	3
YER115C	4.285402219
YER116C	2.584962501
YER117W	8.914385132
YER118C	5.209453366
YER119C	3.807354922
YER120W	7.73809226
YER119C-A	NA
YER121W	3.087462841
YER122C	4.64385619
YER123W	3.523561956
YER124C	6.159871337
YER125W	4.554588852
YER126C	4.247927513
YER127W	4.754887502
YER128W	3.087462841
YER129W	2.584962501
YER130C	5.658211483
YER131W	9.904634622
YER132C	3.247927513
YER133W	6.942514505
YER133W-A	NA
YER134C	NA
YER135C	0
YER136W	6.562242424
YER137W-A	NA
YER137C	3.321928095
YER138W-A	NA
YER139C	3.459431619
YER140W	3
YER141W	4.832890014
YER142C	3.247927513
YER143W	5.044394119
YER144C	4
YER145C	5.357552005
YER146W	NA
YER145C-A	0
YER147C	3.247927513
YER148W	7.194756854
YER147C-A	NA
YER148W-A	NA
YER149C	NA
YER150W	8.37721053
YER151C	5.906890596
YER152W-A	NA
YER152C	7.558420713
YER153C	NA
YER154W	6.21916852
YER155C	5.727920455
YER156C	5.658211483
YER157W	3.64385619
YER158C	2.700439718
YER158W-A	NA
YER159C	NA
YER161C	3.584962501
YER162C	3
YER163C	6.348728154
YER164W	4.64385619
YER165W	8.113742166
YER166W	4.614709844
YER165C-A	0
YER167W	6.577428828
YER168C	5.339850003
YER169W	3.523561956
YER170W	4.247927513
YER171W	5.50779464
YER172C	4.247927513
YER173W	2.807354922
YER172C-A	NA
YER174C	4.209453366
YER175C	3.584962501
YER175W-A	3.247927513
YER176W	4.392317423
YER177W	8.649256178
YER178W	7.888743249
YER179W	1.584962501
YER180C	3.700439718
YER180C-A	1.584962501
YER181C	0
YER182W	NA
YER183C	NA
YER184C	2
YER185W	1.584962501
YER186C	4.977279923
YER187W	2
YER188W	1.584962501
YER188C-A	NA
YER189W	NA
YER190W	NA
YER190C-A	NA
YER190C-B	NA
YFL068W	NA
YFL067W	NA
YFL066C	NA
YFL065C	NA
YFL064C	NA
YFL063W	NA
YFL062W	NA
YFL061W	NA
YFL060C	NA
YFL059W	NA
YFL058W	NA
YFL057C	NA
YFL056C	NA
YFL055W	1
YFL054C	1.584962501
YFL053W	1.807354922
YFL052W	1
YFL051C	0
YFL050C	2.807354922
YFL049W	2.906890596
YFL048C	6.276124405
YFL047W	2.321928095
YFL046W	6.17990909
YFL045C	8.247927513
YFL044C	4.357552005
YFL042C	4.754887502
YFL041W-A	2.700439718
YFL041W	4.614709844
YFL040W	0
YFL039C	9.792790294
YFL038C	6.592457037
YFL037W	7.647458426
YFL036W	3.392317423
YFL034C-B	3.95419631
YFL034C-A	7.909893084
YFL034W	2.807354922
YFL033C	2.807354922
YFL032W	NA
YFL031W	NA
YFL031C-A	NA
YFL030W	NA
YFL029C	NA
YFL028C	5.918863237
YFL027C	4.357552005
YFL026W	5.442943496
YFL025C	3.321928095
YFL024C	4.169925001
YFL023W	3.64385619
YFL022C	7.13442632
YFL021W	3.906890596
YFL021C-A	0
YFL020C	0
YFL019C	1
YFL018C	7.087462841
YFL017W-A	NA
YFL017C	NA
YFL016C	6.339850003
YFL015W-A	NA
YFL015C	NA
YFL014W	5.129283017
YFL013W-A	NA
YFL012W-A	0
YFL013C	NA
YFL012W	-1
YFL011W	0
YFL010W-A	NA
YFL010C	NA
YFL009W	4.584962501
YFL008W	4.426264755
YFL007W	4.930737338
YFL005W	6.651051691
YFL004W	7.174925683
YFL003C	1
YFL002C	4.554588852
YFL001W	4.614709844
YFR001W	5.189824559
YFR002W	5.754887502
YFR003C	6.312882955
YFR004W	7.335390355
YFR005C	4.357552005
YFR006W	4.087462841
YFR007W	3.64385619
YFR008W	2.584962501
YFR009W	5.409390936
YFR009W-A	NA
YFR010W	4.95419631
YFR010W-A	NA
YFR011C	NA
YFR012W	0
YFR012W-A	0
YFR013W	4.882643049
YFR014C	6.098032083
YFR015C	6.960001932
YFR016C	5.108524457
YFR017C	6.285402219
YFR018C	3.584962501
YFR019W	3.321928095
YFR020W	3.700439718
YFR021W	4.392317423
YFR022W	3.459431619
YFR023W	0
YFR024C-A	6.592457037
YFR025C	5.686500527
YFR026C	2.459431619
YFR027W	1.584962501
YFR028C	3
YFR029W	3.700439718
YFR030W	5.700439718
YFR031C	3.523561956
YFR031C-A	9.529430554
YFR032C	0
YFR032C-A	9.791976821
YFR032C-B	NA
YFR033C	6.622051819
YFR034C	4.491853096
YFR034W-A	NA
YFR035C	NA
YFR036W	3.906890596
YFR036W-A	NA
YFR037C	NA
YFR038W	NA
YFR039C	NA
YFR040W	6.257387843
YFR041C	4.285402219
YFR042W	NA
YFR043C	NA
YFR044C	7.348728154
YFR045W	NA
YFR046C	NA
YFR047C	6.285402219
YFR048W	4.044394119
YFR049W	5.794415866
YFR050C	5.781359714
YFR051C	6.714245518
YFR052W	NA
YFR052C-A	NA
YFR053C	NA
YFR054C	0
YFR055W	5.754887502
YFR056C	0.584962501
YFR057W	0
YGL263W	1.321928095
YGL262W	0
YGL261C	NA
YGL260W	NA
YGL259W	1
YGL258W-A	1.584962501
YGL258W	1.584962501
YGL257C	4.285402219
YGL256W	4.727920455
YGL255W	4.781359714
YGL254W	3.392317423
YGL253W	8.079484784
YGL252C	3.857980995
YGL251C	3.64385619
YGL250W	3.807354922
YGL249W	0
YGL248W	5.857980995
YGL247W	NA
YGL246C	NA
YGL245W	9.13442632
YGL244W	5.672425342
YGL243W	4.977279923
YGL242C	5.108524457
YGL241W	3.392317423
YGL240W	NA
YGL238W	6.169925001
YGL239C	NA
YGL237C	1
YGL235W	NA
YGL236C	3.247927513
YGL234W	7.103287808
YGL233W	4.554588852
YGL232W	NA
YGL231C	NA
YGL230C	0
YGL229C	3.169925001
YGL228W	NA
YGL227W	5.794415866
YGL226C-A	5.584962501
YGL226W	3.754887502
YGL225W	5.727920455
YGL224C	5.22881869
YGL223C	5.06608919
YGL222C	0
YGL221C	5.108524457
YGL220W	6.483815777
YGL218W	NA
YGL219C	5.930737338
YGL216W	2.321928095
YGL217C	NA
YGL215W	5.614709844
YGL214W	NA
YGL213C	NA
YGL212W	3.169925001
YGL211W	4.129283017
YGL210W	4.321928095
YGL209W	3
YGL208W	2.584962501
YGL207W	5.266786541
YGL206C	4.523561956
YGL205W	0
YGL204C	0.584962501
YGL203C	4.087462841
YGL202W	6.22881869
YGL201C	2.321928095
YGL200C	8.240791332
YGL198W	6.864186145
YGL199C	NA
YGL197W	1.321928095
YGL196W	4.930737338
YGL195W	5.714245518
YGL194C-A	5
YGL194C	1.584962501
YGL193C	5.906890596
YGL192W	3.459431619
YGL191W	5.965784285
YGL190C	4.857980995
YGL189C	9.758223215
YGL188C-A	NA
YGL188C	0
YGL187C	5.584962501
YGL186C	4.857980995
YGL185C	4.087462841
YGL184C	5.209453366
YGL183C	0
YGL182C	NA
YGL181W	4.754887502
YGL180W	3
YGL179C	3.754887502
YGL178W	3.087462841
YGL177W	NA
YGL176C	3.247927513
YGL175C	0
YGL174W	4.169925001
YGL173C	6.312882955
YGL172W	5.727920455
YGL171W	NA
YGL170C	NA
YGL169W	3.584962501
YGL168W	NA
YGL167C	NA
YGL166W	NA
YGL165C	NA
YGL164C	NA
YGL163C	4.459431619
YGL162W	3.584962501
YGL161C	6.442943496
YGL160W	4.247927513
YGL159W	4.977279923
YGL158W	0.584962501
YGL157W	5.845490051
YGL156W	4
YGL155W	NA
YGL154C	NA
YGL153W	NA
YGL152C	NA
YGL151W	3.906890596
YGL149W	1.584962501
YGL150C	4.321928095
YGL148W	7.588714636
YGL147C	10.56795608
YGL146C	0.584962501
YGL145W	4.209453366
YGL144C	3
YGL143C	3.321928095
YGL142C	3
YGL141W	3.392317423
YGL140C	3.247927513
YGL139W	3.700439718
YGL138C	0
YGL137W	5.14974712
YGL136C	5.686500527
YGL135W	7.383704292
YGL134W	4.209453366
YGL133W	NA
YGL132W	NA
YGL131C	NA
YGL130W	5.523561956
YGL129C	4.357552005
YGL128C	3.584962501
YGL127C	4.906890596
YGL126W	5.357552005
YGL125W	4.169925001
YGL124C	2.807354922
YGL123W	10.89102419
YGL123C-A	NA
YGL122C	5.882643049
YGL121C	6.076815597
YGL120C	5.209453366
YGL119W	2.807354922
YGL118C	0
YGL117W	5.50779464
YGL116W	2.459431619
YGL115W	5.727920455
YGL114W	5.845490051
YGL113W	2.584962501
YGL112C	4.906890596
YGL111W	3.64385619
YGL110C	2.807354922
YGL109W	NA
YGL108C	NA
YGL107C	1.321928095
YGL106W	7.214319121
YGL105W	8.781359714
YGL104C	3.584962501
YGL103W	NA
YGL102C	NA
YGL101W	4.614709844
YGL100W	7.285402219
YGL099W	4.672425342
YGL098W	4.700439718
YGL097W	5.807354922
YGL096W	4.459431619
YGL095C	5.554588852
YGL094C	2.584962501
YGL093W	4.882643049
YGL092W	3.247927513
YGL091C	5.044394119
YGL090W	3.459431619
YGL089C	0
YGL088W	4.044394119
YGL087C	5.303780748
YGL086W	3.906890596
YGL085W	2.169925001
YGL084C	4.491853096
YGL083W	3.64385619
YGL082W	5.247927513
YGL081W	1.584962501
YGL080W	5.129283017
YGL079W	4.285402219
YGL078C	5.339850003
YGL077C	3.584962501
YGL076C	NA
YGL075C	1
YGL073W	NA
YGL074C	1
YGL072C	NA
YGL071W	3.906890596
YGL070C	4.857980995
YGL068W	6.491853096
YGL069C	NA
YGL067W	5
YGL066W	4.491853096
YGL065C	5.686500527
YGL064C	4.044394119
YGL063W	0
YGL063C-A	NA
YGL062W	4.807354922
YGL061C	2.584962501
YGL060W	4.321928095
YGL059W	4.857980995
