#ORF	Gene	Heat 0' (A)	Heat 0' (A) Call	Heat 0' (B)	Heat 0' (B) Call	Heat 15'	Heat 15' Call	Heat 30'	Heat 30' Call	Heat 45'	Heat 45' Call	Heat 60'	Heat 60' Call	Heat 120'	Heat 120' Call	Acid 0' (A)	Acid 0' (A) Call	Acid 0' (B)	Acid 0' (B) Call	Acid 10'	Acid 10' Call	Acid 20'	Acid 20' Call	Acid 40'	Acid 40' Call	Acid 60'	Acid 60' Call	Acid 80'	Acid 80' Call	Acid 100'	Acid 100' Call	Alkali 0' (A)	Alkali 0' (A) Call	Alkali 0' (B)	Alkali 0' (B) Call	Alkali 10'	Alkali 10' Call	Alkali 20'	Alkali 20' Call	Alkali 40'	Alkali 40' Call	Alkali 60'	Alkali 60' Call	Alkali 80'	Alkali 80' Call	Alkali 100'	Alkali 100' Call	msn2/4 acid 0'	msn2/4 acid 0' Call	msn2/4 acid 10'	msn2/4 acid 10' Call	msn2/4 acid 20'	msn2/4 acid 20' Call	Peroxide 0' (A)	Peroxide 0' (A) Call	Peroxide 0' (B)	Peroxide 0' (B) Call	Peroxide 10'	Peroxide 10' Call	Peroxide 20'	Peroxide 20' Call	Peroxide 40'	Peroxide 40' Call	Peroxide 60'	Peroxide 60' Call	Peroxide 120'	Peroxide 120' Call	NaCl 0'	NaCl 0' Call	NaCl 15'	NaCl 15' Call	NaCl 30'	NaCl 30' Call	NaCl 45'	NaCl 45' Call	NaCl 60'	NaCl 60' Call	NaCl 120'	NaCl 120' Call	Sorbitol 0'	Sorbitol 0' Call	Sorbitol 15'	Sorbitol 15' Call	Sorbitol 30'	Sorbitol 30' Call	Sorbitol 45'	Sorbitol 45' Call	Sorbitol 90'	Sorbitol 90' Call	Sorbitol 120'	Sorbitol 120' Call
orf	gene	heat.0min.a	heat.0min.a.call	heat.0min.b	heat.0min.b.call	heat.15min	heat.15min.call	heat.30min	heat.30min.call	heat.45min	heat.45min.call	heat.60min	heat.60min.call	heat.120min	heat.120min.call	acid.0min.a	acid.0min.a.call	acid.0min.b	acid.0min.b.call	acid.10min	acid.10min.call	acid.20min	acid.20min.call	acid.40min	acid.40min.call	acid.60min	acid.60min.call	acid.80min	acid.80min.call	acid.100min	acid.100min.call	alkali.0min.a	alkali.0min.a.call	alkali.0min.b	alkali.0min.b.call	alkali.10min	alkali.10min.call	alkali.20min	alkali.20min.call	alkali.40min	alkali.40min.call	alkali.60min	alkali.60min.call	alkali.80min	alkali.80min.call	alkali.100min	alkali.100min.call	msn2/4.acid.0min	msn2/4.acid.0min.call	msn2/4.acid.10min	msn2/4.acid.10min.call	msn2/4.acid.20min	msn2/4.acid.20min.call	peroxide.0min.a	peroxide.0min.a.call	peroxide.0min.b	peroxide.0min.b.call	peroxide.10min	peroxide.10min.call	peroxide.20min	peroxide.20min.call	peroxide.40min	peroxide.40min.call	peroxide.60min	peroxide.60min.call	peroxide.120min	peroxide.120min.call	nacl.0min	nacl.0min.call	nacl.15min	nacl.15min.call	nacl.30min	nacl.30min.call	nacl.45min	nacl.45min.call	nacl.60min	nacl.60min.call	nacl.120min	nacl.120min.call	sorbitol.0min	sorbitol.0min.call	sorbitol.15min	sorbitol.15min.call	sorbitol.30min	sorbitol.30min.call	sorbitol.45min	sorbitol.45min.call	sorbitol.90min	sorbitol.90min.call	sorbitol.120min	sorbitol.120min.call
YDR513W	TTR1	625	P	475.1	P	1727.1	P	990.6	P	744.1	P	569	P	490	P	809	P	404.9	P	2091.9	P	1500.4	P	1164.9	P	1167.3	P	941.9	P	1182.6	P	809	P	404.9	P	1688.1	P	842.1	P	570.4	P	323.4	P	594.1	P	478.9	P	1204	P	580.8	P	370.4	P	542.3	P	561.8	P	2919.6	P	3014.9	P	3779.1	P	3668	P	974.1	P	1247	P	2511	P	9050.7	P	8516.8	P	6055.1	P	4646.7	P	1247	P	3609.2	P	6040.4	P	6360	P	1964.6	P	2466.1	P
YDR514C	YDR514C	253	P	127.6	P	275	P	344.5	P	408.2	P	282.6	P	384.4	P	259.5	P	101.9	P	218.7	P	189.4	P	169	P	222.6	P	200.3	P	204.7	P	259.5	P	101.9	P	132.2	P	140.4	P	129.5	P	42	A	106.6	A	84.5	A	358.2	P	369.4	P	245.4	P	202.9	P	133.7	P	118.1	P	20	A	66.5	A	136	P	176.2	A	210	A	56.7	A	324.5	A	457.3	P	20	A	20	A	210	A	149.6	A	450.2	P	461.4	A	259.5	A	271.6	A
YDR515W	SLF1	72	P	48.9	P	130.9	P	147.9	P	160.1	P	73.7	P	72.3	P	85	P	20	A	102.3	P	100.6	P	51.2	A	68.5	A	47.6	P	64.1	P	85	P	20	A	90.9	A	20	A	55.5	P	22.6	A	33.6	A	20	A	64.7	P	109.2	P	52.9	A	66.4	P	88	P	44.3	A	46	A	103.5	A	132.9	P	128.6	A	20	A	20	A	55.2	A	169.5	P	154.7	A	20	A	20	A	20	A	68.3	A	143.8	A	20	A	20	A
YDR516C	YDR516C	308	P	181.8	P	2108.7	P	444.7	P	309.9	P	345.3	P	477	P	420.8	P	286.9	P	1255.9	P	1015.1	P	606.8	P	482.3	P	319.3	P	436.2	P	420.8	P	286.9	P	2772.8	P	693.7	P	458.3	P	504.4	P	300	P	401	P	1109.1	P	190.5	P	182.8	A	357.8	P	248.7	P	654.3	P	901.6	P	1215.3	P	915.8	P	281	P	550	P	881.2	P	4842.6	P	4968.9	P	1128.5	P	423.3	P	550	P	1746.9	P	4169.6	P	2699	P	393.4	P	798.2	P
YDR517W	YDR517W	293	P	196.3	P	442.9	P	245.2	P	328.8	P	399.6	P	342.1	P	414.3	P	469.3	P	663.2	P	593.4	P	519.7	P	493.7	P	269.7	P	498.2	P	414.3	P	469.3	P	475.2	P	410.3	P	388.6	P	355.7	A	410.5	P	492.1	P	556.7	P	434.4	P	471.5	P	409.5	P	284.3	P	381.2	P	357.4	P	493.8	P	401.8	P	214.4	P	537	P	224	P	355.9	P	327	P	241.2	A	168.8	A	537	P	389.6	P	636.5	P	724.6	P	509.8	P	610.6	P
YDR518W	EUG1	134	P	96.2	P	195.9	P	487.5	P	627.6	P	361.8	P	383.6	P	298.7	P	150.2	P	366.9	P	256	P	312.3	P	391	P	228	P	281.2	P	298.7	P	150.2	P	245.9	P	205.1	P	231.8	P	268.4	P	331.6	P	298.3	P	271.9	P	253.2	P	96.2	A	291.4	P	182.7	P	137.7	P	77.1	P	53.2	P	52.2	P	116.7	P	796	P	673.5	P	1113	P	813.7	P	543	P	604.4	P	796	P	458	P	385.6	P	705.6	P	655.3	P	343.1	A
YDR519W	FPR2	766	P	550.8	P	1528.3	P	1825.5	P	2850.1	P	1631.5	P	1766.6	P	942	P	968	P	843.1	P	870.1	P	755.2	P	824.8	P	805.1	P	816.6	P	942	P	968	P	1433.9	P	1535.8	P	1470.6	P	1202.9	P	1314.4	P	1514.4	P	1419.8	P	1087.2	P	692.8	P	641.9	P	639.6	P	450.1	P	329.2	P	307.5	P	305.3	P	416.8	P	577	P	714.6	P	466.4	P	441.1	P	567.3	P	736.5	P	577	P	221.6	P	367.1	P	607.9	P	744.9	P	605.4	P
YDR520C	YDR520C	70	P	42	P	60.6	P	35	P	113.3	P	105	P	113.8	P	113.4	P	61.7	P	35.3	A	20	A	23	A	51.4	A	83.3	P	80.6	P	113.4	P	61.7	P	74.4	A	67.5	A	69.7	P	25.9	A	49.3	A	109.4	P	146.7	P	106.9	P	48.1	A	88.5	P	81.2	P	36.9	P	20	A	59.1	P	50.6	P	83.4	P	288	P	180.1	P	279.2	P	406.3	P	291.2	P	205.5	P	288	P	221.6	P	313.6	P	435.6	P	264.2	P	276.8	P
YDR521W	YDR521W	20	A	20	A	20	A	64.2	A	20	A	20	A	20	A	20	A	48.3	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	48.3	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	54.8	A	20	A	20	A	46.8	A	76	A	20	A	20	A	20	A	22.2	A	110.7	A	20	A	88.5	A	20	A
YDR522C	SPS2	20	A	20	A	20	A	44.8	P	20	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	44	A	20	A	20	A	20	A	20	A	85	A	38.4	A
YDR523C	SPS1	37	A	20	A	20	A	20	A	20	A	41.4	P	20	A	20	A	20	A	20	A	20	A	20	A	22.8	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	40.6	A	28.8	P	39.4	A	20	A	20	A	45.9	P	35.7	A	20	A	62.4	A	138.8	P	94.5	A	30.3	A	20	A	20	A	134.8	A	35.1	A	93.6	A	23.3	A	66.3	A
YDR524C	YDR524C	140	P	83.3	P	88	P	240.3	P	205.7	P	164.8	P	236.5	P	93.8	P	50.9	P	77.6	P	72.5	P	97.3	P	131.3	P	89.2	P	95.1	P	93.8	P	50.9	P	53.7	P	75.6	A	54.4	P	20	A	71	A	46.4	P	90.6	P	81.3	P	110.7	P	143.9	P	91.4	P	39.4	P	37.1	P	48.8	P	110.7	P	90.5	P	209	P	167.3	P	154.2	P	210.7	P	109.2	A	146.8	A	209	P	88.6	A	20	A	248.3	P	285.1	P	175.2	P
YDR525W	YDR525W	20	A	20	A	20	A	20	A	20	A	20	A	20.3	A	89.4	A	24.1	P	67	P	69.5	A	46.1	P	59.9	A	37.7	A	66.2	A	89.4	A	24.1	P	66.1	A	81	A	22.9	A	20	A	57.2	A	28.2	A	25.9	A	20	A	20	A	59	A	44	A	46.7	A	44.5	A	56.2	A	47.5	A	20	A	20	A	36.2	A	20	A	20	A	20	A	20	A	20	A	20	A	167.9	A	40.7	A	129.2	A	45.6	A
YDR525W-A	YDR525W-A	1281	P	930.1	P	2652.6	P	3532.7	P	2933.5	P	2811.5	P	112110.7	P	1352.6	P	2736.1	P	4207.9	P	1858.7	P	1488.6	P	NA	NA	NA	NA	NA	NA	1352.6	P	2736.1	P	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YDR526C	YDR526C	29	A	20	A	71.7	P	20	A	20	A	25.8	P	456.7	P	20	A	20	A	20	A	20	A	33.3	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	20.9	A	33.7	A	77.5	P	20	A	20	A	20	A	20	A	22.1	A	20	A	89	A	66.6	P	46	A	55.4	A	20	A	61.2	A	89	A	94.2	A	20	A	120.8	A	78	A	119.2	A
YDR527W	YDR527W	179	P	84	P	232.2	P	260.8	P	313.8	P	248.6	P	118.6	A	242	P	139.4	P	116.4	P	167.2	P	227.9	P	311.1	P	164.6	P	155.1	P	242	P	139.4	P	229.3	P	153.9	P	137.2	P	42	A	207.2	P	145.8	P	138.1	P	111.5	P	144.3	P	95.9	P	115.1	P	83.6	P	32.6	A	51.7	A	28.5	A	76.2	A	396	P	125.5	P	149.6	P	94.5	P	239.7	A	102.8	A	396	P	178.2	P	306.3	P	247	P	672.7	P	302.7	A
YDR528W	YDR528W	77	P	20	A	148.6	P	218	P	219.4	P	105.9	P	80.4	P	146.1	P	109.9	A	77.6	P	134.7	P	133.1	P	157	P	93.2	P	171.6	P	146.1	P	109.9	A	80.6	A	75.6	A	108.8	P	93.8	A	128.3	P	185.6	P	82	P	92.9	P	96.2	P	95.9	P	94.8	P	24.6	A	20	A	76.9	A	20	A	90.5	A	404	P	170.1	P	489.4	P	147.7	P	389.8	P	232.5	P	404	P	251.1	P	348.7	P	282.2	P	506.3	P	345.2	P
YDR529C	QCR7	1093	P	863.2	P	1781.1	P	1068.4	P	1522.7	P	789.9	P	1270.1	P	1186.2	P	506.8	P	2289.5	P	1461.9	P	942.1	P	1441.3	P	1517	P	1633.2	P	1186.2	P	506.8	P	1820.3	P	569.5	P	621.5	P	1299.9	P	870.4	P	873.2	P	2567.8	P	2495.1	P	1289.3	P	527.5	P	502.5	P	642	P	517.6	P	659.4	P	439.7	P	543	P	2420	P	1185.3	P	5660.3	P	4675.6	P	5028.2	P	3009.7	P	2420	P	1609.3	P	2638.3	P	1746.4	P	1664.3	P	1693.8	P
YDR530C	APA2	103	P	68.7	P	124.2	P	123.6	P	140.6	P	65.4	P	125.1	P	93.8	P	21.5	A	194	P	108	P	71.7	P	77.1	P	81.3	P	74.4	P	93.8	P	21.5	A	20	A	20	A	44.6	P	22.6	A	20	A	79.5	A	56.1	P	106.9	P	20	A	20	A	54.1	P	54.1	P	60.8	P	100.5	P	93.3	P	42.9	A	331	P	243.9	P	879.1	P	708.3	P	549.1	P	318.1	P	331	P	311.2	P	621.7	P	466.8	P	393.4	A	372.1	P
YDR531W	YDR531W	431	P	202.4	P	507.9	P	523.5	P	550.7	P	317.6	P	453.4	P	368.5	P	305.7	P	395.1	P	355.1	P	248.3	P	348.2	P	269.7	P	301.8	P	368.5	P	305.7	P	394.6	P	356.3	P	358.1	P	258.7	P	323.7	P	313.2	P	621.4	P	861.9	P	384.9	P	317.2	P	238.6	P	196.8	P	123.1	P	224.7	P	264.1	P	181	P	1196	P	579.9	P	1419.9	P	1251.5	P	1205.9	P	403.7	P	1196	P	680.5	P	1121.7	P	815.5	P	955.5	P	639.6	P
YDR532C	YDR532C	20	A	21.4	P	47.3	P	78.8	A	94.4	P	57.1	P	75.6	P	80.7	P	20	A	49.4	A	66.6	A	20	A	68.5	A	43.6	P	68.2	A	80.7	P	20	A	20	A	20	A	20	A	25.9	A	55.3	A	20	A	25.9	A	20	A	43.3	A	20	A	42.3	A	32	P	20	A	41.4	P	20	A	20	A	36	A	20	A	84.4	A	46.7	A	65.2	A	73.4	A	36	A	58.2	A	142.1	A	51.6	A	69.8	A	22.8	A
YDR533C	YDR533C	385	P	640.1	P	3855	P	4082.9	P	2535	P	1541.2	P	2785.7	P	564.8	P	439.8	P	5333.9	P	5582.8	P	3791.6	P	4917.4	P	3408.7	P	3512.5	P	564.8	P	439.8	P	1293.4	P	879.9	P	505.1	P	591.8	P	550.6	P	578.3	P	4643.5	P	2890	P	2482.4	P	291.4	P	220	P	1549.6	P	2486.9	P	4151.7	P	4218.4	P	795.5	P	1586	P	1261.2	P	5406.4	P	8679.8	P	9114.5	P	2483.6	P	1586	P	1530.8	P	4448.2	P	4012.5	P	1703.9	P	1335.2	P
YDR534C	YDR534C	62	P	44.3	P	88.7	P	203.4	P	177.1	P	66.3	P	48.8	A	150.5	P	303	P	88.2	P	131.7	P	81.9	P	20	A	166.6	P	122	P	150.5	P	303	P	297.5	P	296.9	P	89.3	P	74.4	A	118.4	P	101.1	P	181.3	P	153.3	P	28.9	A	103.3	P	125.2	P	49.2	P	74.1	P	50.3	P	158.2	P	57.2	A	254	P	109.9	P	465.6	P	585.5	P	235.1	P	154.2	A	254	P	403.5	P	942.8	P	481.7	P	161.8	A	302.7	P
YDR535C	YDR535C	20	A	20	A	20	A	20	A	20	A	20	A	32.5	P	34.9	A	20	A	20	A	29.6	A	20	A	34.2	A	20	A	31	A	34.9	A	20	A	22.7	A	20	A	41.4	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	22.1	A	20	A	24	A	20	A	181	P	185.8	A	20	A	20	A	24	A	62.8	A	31.4	A	118.1	A	20	A	144.1	P
YDR536W	STL1	20	A	20	A	29.6	P	56.4	A	20	A	20.3	P	20	A	24	P	20	A	20	A	20	A	20	A	20	A	20	A	20	A	24	P	20	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	22.1	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	72.3	P	13703.1	P	17743	P	4473.1	P	4888.9	P	20	A	2775.4	P	10239.5	P	6729.1	P	102.4	A	912.2	P
YDR537C	YDR537C	20	A	20	A	20	A	20	A	44.9	A	20	A	60.1	A	20	A	20	A	20	A	47.3	P	58.9	P	31.4	A	47.6	A	53.8	A	20	A	20	A	55.8	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	24.1	A	48	A	37.2	P	27.1	A	43	P	54.7	A	20	A	40.5	A	126	P	38.3	A	100.5	P	60.8	A	25.8	A	39.2	A	126	P	173.6	A	57.2	A	206.3	A	96.6	A	247.8	A
YDR538W	PAD1	314	P	252.8	P	305.4	P	232.6	A	299.5	P	213.6	P	230	A	281.3	P	230.6	A	285.7	P	247.1	P	317.5	P	285.4	P	186.4	P	306	P	281.3	P	230.6	A	229.3	A	229.4	A	218.8	P	249	P	130.3	A	165.7	P	276.2	P	415.8	P	466.7	P	202.9	P	157.4	P	130.4	A	135	A	207	A	72.8	A	200.1	A	524	P	587	P	1221.2	P	1082	P	646.2	P	907.8	P	524	P	975.9	P	1119.9	P	1598.5	P	1723.7	P	1332	P
YDR539W	YDR539W	177	P	148.2	P	414	P	603.3	P	480.4	P	284.5	P	345.4	P	130.8	P	128.7	P	194	P	257.5	P	243.2	P	219.8	P	144.8	P	200.5	P	130.8	P	128.7	P	192.2	A	294.2	P	201.4	P	155.2	P	175.6	P	167.4	P	388.4	P	429.8	P	255	P	107	P	137.1	P	113.1	P	96.4	P	189.3	P	74.3	P	114.3	P	610	P	735.9	P	1322.4	P	1301.4	P	803.9	P	834.4	P	610	P	778.3	P	940.9	P	1846.8	P	832.2	P	1071.9	P
YDR540C	YDR540C	20	A	20	A	110.9	P	68.1	A	153	P	61.7	P	43.9	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	21.6	A	37.2	P	20	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	55.3	P	146.5	P	154.3	A	20	A	24.5	A	20	A	76.6	A	129.1	A	156	P	133.8	A	72.6	A
YDR541C	YDR541C	70	P	39	P	119	P	191.7	P	232.4	P	167.6	P	112.1	P	20	A	77.8	A	20	A	56.2	A	130.6	P	31.4	A	20	A	20	A	20	A	77.8	A	163.2	A	156.5	P	140.4	P	197.3	P	167.8	P	162.4	P	224.4	P	153.3	P	158.8	P	62.7	A	71.1	P	20	A	20	A	69.5	P	60.1	A	61.9	A	211	P	109.2	P	336.7	P	411.7	P	470.2	P	310.8	P	211	P	191.1	P	577.5	P	745	P	410.8	P	329.6	P
YDR542W	YDR542W	1177	P	635.5	P	875.4	P	1330.2	P	1869	P	1994.2	P	1542.3	P	656.3	A	713.3	P	1485.2	P	782.8	P	862.8	P	839.1	P	612.7	P	1271.4	P	656.3	A	713.3	P	1971.2	P	1479.1	P	740.2	P	1694.4	P	1697.3	P	961	P	1424.1	P	1321.9	P	1327.8	P	498	P	509.3	P	322.2	P	274.4	P	615.1	P	602.6	P	423.9	P	643	P	287.1	P	925.9	P	1039.6	P	427.7	P	839.3	P	643	P	780.2	P	758.3	P	625.6	P	882.2	P	744.3	P
YDR543C	YDR543C	69	P	35.9	P	29.6	A	127.5	P	141.3	P	84.7	P	103.2	P	20	A	112.6	P	20	A	20	A	28.2	A	20	A	20	A	20	A	20	A	112.6	P	124	A	180.8	P	109.9	P	126.1	A	92.8	A	145.8	P	69	P	90.6	P	96.2	A	20	A	32.1	A	29.5	P	20	A	31	P	39.5	A	78.6	A	131	P	138.2	P	108.2	P	148.8	P	150.2	A	141.9	A	131	P	300.1	P	345	A	474.9	P	280.5	A	217.7	A
YDR544C	YDR544C	20	A	20	A	20	A	20	A	20	A	20	P	32.5	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	81.8	A	88.5	A	64.3	A	20	A	20	A	31	A	20	A	20	A	88	A	62.4	P	145	A	140.1	P	241.2	A	225.1	A	88	A	492.1	P	72	A	173.7	A	174.6	A	68.4	A
YDR545W	YDR545W	3105	P	2374.9	P	2176.7	P	3358	P	4025.8	P	3898.2	P	3978.6	P	2352.8	P	1721.5	P	1887.3	P	2758.1	P	2808.5	P	3210.7	P	2427.1	P	2989.5	P	2352.8	P	1721.5	P	3372	P	2542.6	P	1632.7	P	2803.6	P	4073.5	P	3491.2	P	5109.6	P	2699.5	P	2934.7	P	2316.7	P	2011.8	P	1180.6	P	643.6	P	832.4	P	1580.1	P	1424.3	P	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YEL001C	YEL001C	604.1	P	460.5	P	509.5	P	709.9	P	830.3	P	924	P	463.4	P	915.2	P	1637.3	P	1184.7	P	1159	P	885.4	P	1179.3	P	1078.6	P	1381.4	P	915.2	P	1637.3	P	1075.1	P	970.3	P	976.1	P	787	P	1090.8	P	1198.5	P	702.3	P	584.5	P	1015.1	P	1097.9	P	841	P	555.4	P	503.9	P	363.6	P	270.4	P	822	P	1816	P	1563.2	P	1643.8	P	1952.1	P	1709.4	P	3550.5	P	1816	P	1260.3	P	1455.7	P	4226.9	P	2986.5	P	2525.2	P
YEL002C	WB11	755.5	P	414.3	P	538.8	P	802.4	P	968.6	P	1428	P	516	P	689.5	P	940.2	P	804.3	P	892.4	P	805.7	P	946.7	P	660.9	P	1174.7	P	689.5	P	940.2	P	716	P	863.6	P	581.4	P	557.4	P	747	P	920.5	P	722.7	P	208.4	P	1330.1	P	682.1	P	624.6	P	373.3	P	345.6	P	403.7	P	407.8	P	576.5	P	5106	P	2358.6	P	4878.6	P	3313.3	P	3805.7	P	3288.6	P	5106	P	1525.3	P	2844.9	P	2469.6	P	4070	P	2686.9	P
YEL003W	GIM4	335.4	P	237.8	P	391.9	P	252.5	P	285.5	P	555.7	P	261.1	P	761.3	P	1070.7	P	514.4	P	606.7	P	607	P	1071.6	P	685.3	P	1381.4	P	761.3	P	1070.7	P	531.5	P	483.8	P	326	P	366.7	P	492.2	P	683.4	P	381.8	P	188	P	752.5	P	679.2	P	585.9	P	447.4	P	263.5	P	280.2	P	246.5	P	412.1	P	579	P	396.3	P	686.5	P	360.7	P	590	P	244.7	P	579	P	148.7	A	215.9	P	168.3	A	118.7	A	194.9	P
YEL004W	YEA4	20	A	46.2	P	71	P	90	P	125.2	P	77.5	A	66.8	P	65.5	P	119.4	P	32.6	A	78.5	P	36.5	P	92.4	P	73.2	P	177.4	P	65.5	P	119.4	P	200.6	P	155.4	P	86.9	P	87.3	P	104.7	P	135.1	P	68.2	A	238.9	P	253.8	P	92.2	P	84.5	P	68.9	P	42.5	P	85.9	P	37.5	A	98.9	P	165	P	68.1	P	293	P	220.5	P	247.2	P	53.8	A	165	P	119.1	A	27.7	A	20	A	147.8	A	141	A
YEL005C	YEL005C	20	P	29.5	P	20	P	62.5	P	20	A	90.5	A	91.1	P	23.9	A	72.2	P	68.8	P	47.4	A	48.7	A	57.9	A	80.2	P	103.3	P	23.9	A	72.2	P	152.4	P	77	P	53.4	P	95.4	P	59.3	P	73.1	P	47.7	A	81.3	A	140	P	57.1	A	63.3	P	71.5	P	71.4	P	121	P	84.1	P	21.1	A	55	A	72.3	P	260.8	P	173.8	P	77.4	A	20	A	55	A	42.5	A	131	A	20	A	20	A	80.9	P
YEL006W	YEL006W	156.3	P	95.4	P	210.6	P	272.5	P	268	P	297.2	P	352.1	P	141.4	P	220.8	A	152.2	P	169.7	P	123	P	153.4	P	204.9	P	274	P	141.4	P	220.8	A	192.5	A	152.7	A	163.8	P	118.2	A	137.9	P	219.3	P	143.2	P	81.3	A	446.3	P	168.3	P	160.1	P	135.3	P	171.8	P	192.4	P	107.9	P	135.5	P	847	P	330.4	P	626.7	P	684.4	P	394.4	P	597	P	847	P	268.7	P	330.2	P	686.6	P	790.3	A	118.2	A
YEL007W	YEL007W	556.9	P	231	P	379.6	P	482.4	P	268	P	659.1	P	475.6	P	455.5	P	669.4	P	739.1	P	550.1	P	482.6	P	630.8	P	530.1	P	961.3	P	455.5	P	669.4	P	391.1	P	267.6	P	187.4	P	310.3	P	504.4	P	601.5	P	456.8	P	325.3	P	621.3	P	802.2	P	610.5	P	55.9	P	110	P	175.5	P	344.2	P	353.2	P	1774	P	380	P	457.2	P	1057	P	1328.7	P	1123.1	P	1774	P	245.6	P	1003.7	P	1494	P	1834.2	P	1651.3	P
YEL008W	YEL008W	26.1	A	25	A	20	A	82.5	P	20	A	20	A	48.6	A	20	A	56.9	A	39.9	A	23.3	A	20	A	42.7	A	28.8	A	78.6	A	20	A	56.9	A	80.2	A	51.4	A	35.6	A	38.9	A	43.6	A	76.4	A	47.7	A	71.2	A	20	A	20	A	31.7	A	20	A	26.1	A	20	A	20	A	20	A	20	A	20	A	20	A	21.7	A	20	A	20	A	20	A	20	A	29.5	A	20	A	20	A	36.3	A
YEL009C	GCN4	7247.4	P	4655.4	P	6049.8	P	7606.4	P	7019.9	P	10713.4	P	5178.7	P	6657.2	P	5902.2	P	4916.1	P	4912.4	P	6127.7	P	7226.9	P	6576	P	8461.2	P	6657.2	P	5902.2	P	5054.4	P	4361.1	P	3774.9	P	4480.5	P	6094.7	P	6581.9	P	8993	P	3684.7	P	12600.6	P	4912.6	P	4926.5	P	2515.6	P	2044.4	P	1553.3	P	2026.7	P	4424.3	P	10187	P	4847.6	P	4400.7	P	4974.3	P	8574.5	P	8045.4	P	10187	P	2666.5	P	3594	P	7696.6	P	10154.7	P	9117	P
YEL010W	YEL010W	21.2	A	20	A	20	A	20	A	20	A	20	A	34.4	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	55.9	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	22.1	A	20	A	20	A	20	A
YEL011W	GLC3	20	A	20	A	421.3	P	85	P	41.7	A	103.4	A	85	P	40.6	P	104.2	P	286.2	P	272.9	P	177.1	P	145.2	P	91.6	P	269.5	P	40.6	P	104.2	P	838.4	P	151.4	P	115.1	P	162.5	P	178	P	190.5	P	238.6	P	45.7	A	43.8	A	108.3	P	68.6	A	460.5	P	467.2	P	420	P	280.6	P	84.4	P	271	P	556.5	P	3665.9	P	2571.3	P	969.2	P	814.8	P	271	P	1477.3	P	2241.6	P	576.7	P	130.4	A	560.8	P
YEL012W	UBC8	96.1	P	117.4	P	507	P	227.5	P	366.8	P	445.9	P	153.8	P	150.8	P	73.6	P	416.6	P	378.3	P	160.9	P	317.9	P	153.5	P	332.4	P	150.8	P	73.6	P	958.7	P	332.5	P	203.6	P	218.9	P	212.9	P	301.3	P	306.8	P	406.6	P	420	P	134.7	P	61.6	A	223.7	P	259.7	P	561	P	576	P	273.3	P	167	P	378.6	P	1766.6	P	2420.3	P	1246.8	P	964.1	P	167	P	368.4	P	1252.7	P	981.1	P	277	A	315.1	P
YEL013W	VAC8	394	P	217.4	P	448.2	P	599.9	P	399.8	P	510.5	P	414.9	P	198.6	P	459.7	P	315.2	P	603.9	P	335.2	P	488.6	P	484.8	P	741.2	P	198.6	P	459.7	P	627.8	P	452.7	P	219.3	P	259.2	P	335.1	P	425.4	P	409.1	P	421.8	P	945	P	433.3	P	353.7	P	152.2	P	248.1	P	327.8	P	380.6	P	358.8	P	525	P	307.7	P	636.7	P	307.4	P	676.5	P	555.4	P	525	P	219.7	P	511.1	P	628.3	P	523.7	P	512.1	P
