# From http://www.ebi.ac.uk/huber-srv/actinomycinD/ , Supplementary Table 1, Antisense artifacts in transcriptome microarray experiments are resolved by actinomycin D, Fabiana Perocchi+, Zhenyu Xu+, Sandra Clauder-Münster and Lars M. Steinmetz*. Nucleic Acids Research, 26 September 2007
orf	annotation	chr	start	end	strand	actd.level	no.actd.level	sense.fold.diff	sense.overlap	asense.actd.level	asense.no.actd.level	asense.fold.diff	asense.overlap
YFR028C	Verified	6	208401	210056	-	3.154021851	2.959126224	0.194895627	3	-1.502088513	-0.484152027	-1.017936485	4
YFR029W	Verified	6	210925	212961	+	1.508123018	1.261088727	0.247034291	3	-1.289387473	-0.857955557	-0.431431915	4
YFR030W	Verified	6	213300	216407	+	1.23453169	1.00344857	0.231083119	3	-1.525418879	-1.531382134	0.005963255	4
YFR031C	Verified	6	216582	220094	-	1.282568988	0.900354896	0.382214092	3	-1.58450339	-1.593450165	0.008946775	4
YFR031C-A	Verified	6	220495	221406	-	5.379806317	5.347448183	0.032358134	3	-1.376114028	0.314614032	-1.690728061	2
YFR032C	Uncharacterized	6	222078	222947	-	-0.776319286	-1.187359365	0.411040078	4	-1.279516298	-1.523769263	0.244252965	4
YFR032C-A	Verified	6	223246	223425	-	5.563137047	5.50192843	0.061208618	3	-1.357991794	-0.986975479	-0.371016315	4
YFR032C-B	Uncharacterized	6	223698	223961	-	1.443760838	1.729143345	-0.285382507	3	-0.657849386	-0.879176443	0.221327057	4
YFR033C	Verified	6	224314	224757	-	4.538502918	4.190821606	0.347681312	3	-0.114067323	1.035267405	-1.149334728	2
YFR034C	Verified	6	225008	225946	-	3.333611284	2.868883857	0.464727427	3	-0.295437211	0.421442269	-0.71687948	2
YFR035C	Uncharacterized	6	226109	226453	-	-0.650694813	-0.781003535	0.130308721	4	2.090425088	1.901857507	0.188567581	3
YFR036W	Verified	6	226950	227324	+	2.885549042	2.502641565	0.382907478	3	-0.92335156	-0.08241059	-0.84094097	4
YFR037C	Verified	6	227500	229173	-	3.863766893	3.577845987	0.285920906	3	-1.029690564	0.623837465	-1.653528029	2
YFR038W	Uncharacterized	6	229367	231928	+	1.994652899	1.607552859	0.387100039	3	-1.516086974	-1.321693413	-0.194393562	4
YFR039C	Uncharacterized	6	231999	233531	-	3.089866576	2.859925491	0.229941085	3	-1.410065876	-0.582484112	-0.827581764	4
YFR040W	Verified	6	234229	237237	+	2.729242521	2.460768261	0.26847426	3	-1.458884595	-0.927277018	-0.531607577	4
YFR041C	Uncharacterized	6	237355	238242	-	2.59986853	2.47895174	0.12091679	3	-1.426961815	-1.341395594	-0.085566221	4
YFR042W	Uncharacterized	6	238445	239047	+	3.464011513	3.739028054	-0.275016541	3	-1.547027517	0.162864071	-1.709891588	2
YFR043C	Uncharacterized	6	239101	239814	-	1.411782408	1.303377415	0.108404993	3	-0.732535275	-0.808989328	0.076454052	4
YFR044C	Uncharacterized	6	239979	241424	-	4.064782643	4.206740355	-0.141957711	3	-1.336665334	0.105795412	-1.442460746	2
YFR045W	Uncharacterized	6	242129	242986	+	2.188661399	2.215655156	-0.026993757	3	-1.377570159	-1.099105063	-0.278465096	4
YFR046C	Verified	6	243061	244146	-	1.214330247	0.944639686	0.269690561	3	-1.476540007	-1.255796534	-0.220743473	4
YFR047C	Verified	6	244266	245153	-	3.242867354	3.54161889	-0.298751537	3	-1.141070479	0.153098985	-1.294169465	2
YFR048W	Verified	6	246133	248121	+	1.650554092	1.478606856	0.171947235	3	-1.526568508	-1.228167	-0.298401508	4
YFR049W	Verified	6	248510	248881	+	2.663707224	2.811252123	-0.147544899	3	-1.359810625	-1.06389251	-0.295918115	4
YFR050C	Verified	6	249053	249853	-	4.462945808	4.555033672	-0.092087864	3	-1.387050015	1.006717004	-2.393767019	2
YFR051C	Verified	6	250150	251790	-	3.573157409	3.646104122	-0.072946714	3	-1.331600693	0.231416808	-1.563017501	2
YFR052W	Verified	6	252492	253316	+	3.611968776	3.661072425	-0.049103649	3	-1.538775788	-0.98280366	-0.555972128	4
YFR053C	Verified	6	253579	255036	-	3.833068053	4.357647829	-0.524579776	3	-1.274344428	0.641734938	-1.916079366	2
YFR055W	Uncharacterized	6	264191	265213	+	4.29985744	3.807035586	0.492821854	3	-1.217242331	0.119303157	-1.336545489	2
YFR057W	Uncharacterized	6	269048	269503	+	-1.708128469	-2.093630462	0.385501993	4	-1.518485671	-1.797084819	0.278599148	4
YGL001C	Verified	7	495457	496506	-	4.15602271	3.985531838	0.170490871	3	-1.542069995	-0.473232346	-1.068837649	4
YGL002W	Verified	7	494521	495171	+	3.388887259	3.475607326	-0.086720068	3	-1.082414307	-0.6547382	-0.427676107	4
YGL003C	Verified	7	492478	494178	-	1.626122829	1.285860001	0.340262829	3	-1.407291828	-1.308013388	-0.09927844	4
YGL004C	Uncharacterized	7	490707	491960	-	2.067104384	1.888160271	0.178944113	3	-0.892775979	-0.957420965	0.064644986	4
YGL005C	Verified	7	489712	490551	-	2.476217373	2.322540996	0.153676377	3	-1.476098326	-0.907180295	-0.56891803	4
YGL006W	Verified	7	485925	489446	+	2.275262411	2.23371029	0.041552121	3	-1.577954838	-1.244580126	-0.333374712	4
YGL006W-A	Uncharacterized	7	485428	485538	+	0.419627653	0.713937635	-0.294309982	3	-0.942658936	-1.298204272	0.355545336	4
YGL007C-A	Uncharacterized	7	482946	483032	-	0.169697495	0.157173536	0.012523959	3	-1.292400279	-1.580262188	0.287861909	4
YGL008C	Verified	7	479915	482671	-	5.648655072	5.648432204	0.000222868	3	-1.491146409	1.029592603	-2.520739012	2
YGL009C	Verified	7	476318	478657	-	3.507857387	3.246909953	0.260947434	3	-1.539515803	-0.595555905	-0.943959899	4
YGL010W	Uncharacterized	7	475550	476074	+	1.607813832	1.94183502	-0.334021188	3	-1.176311666	-1.286113168	0.109801502	4
YGL011C	Verified	7	474494	475252	-	3.964143078	3.939844573	0.024298505	3	-1.375216528	-0.263197332	-1.112019196	4
YGL012W	Verified	7	472860	474281	+	5.045535119	5.058294801	-0.012759682	3	-1.312927089	0.972666047	-2.285593135	2
YGL013C	Verified	7	469097	472303	-	1.944908679	1.735977461	0.208931218	3	-1.492811227	-1.377869149	-0.114942078	4
YGL014W	Verified	7	466146	468812	+	2.936704587	2.667173355	0.269531231	3	-1.48289633	-0.676547627	-0.806348703	4
YGL015C	Uncharacterized	7	465048	465440	-	-1.454904443	-1.912494814	0.45759037	4	-1.632580681	-1.86379734	0.231216658	4
YGL016W	Verified	7	461671	464916	+	2.522261271	2.316701052	0.205560219	3	-1.570500711	-1.267380847	-0.303119864	4
YGL017W	Verified	7	459859	461370	+	1.931960461	1.616683578	0.315276883	3	-1.470455513	-1.126473036	-0.343982477	4
YGL018C	Verified	7	459115	459669	-	1.33016203	1.183652207	0.146509824	3	-1.44247067	-1.504334667	0.061863996	4
YGL019W	Verified	7	458161	458997	+	3.612539152	3.299993341	0.312545811	3	-0.552732196	0.632102763	-1.184834959	2
YGL020C	Verified	7	457168	457875	-	3.900098941	3.684121946	0.215976995	3	-1.630744176	-1.224557693	-0.406186483	4
YGL021W	Verified	7	454790	457072	+	3.074978009	3.02149933	0.053478679	3	-1.316410419	-0.266781467	-1.049628952	4
YGL022W	Verified	7	452409	454565	+	3.930056787	3.895855297	0.034201491	3	-1.201624715	0.258573204	-1.460197918	2
YGL023C	Verified	7	450202	452109	-	2.390214704	1.852425761	0.537788942	3	-1.170856947	-0.281582918	-0.889274028	4
YGL025C	Verified	7	448769	449962	-	2.971714697	2.489718417	0.481996279	3	-1.081842622	-0.339312056	-0.742530567	4
YGL026C	Verified	7	446417	448540	-	3.690223962	3.540075186	0.150148777	3	-1.366558352	-0.281762636	-1.084795716	4
YGL027C	Verified	7	443647	446148	-	2.940291297	2.844578345	0.095712952	3	-1.199418403	-0.631151043	-0.568267361	4
YGL028C	Verified	7	441286	442914	-	4.739469609	4.680197005	0.059272604	3	-1.313557644	1.069216825	-2.382774469	2
YGL029W	Verified	7	440068	440430	+	3.012962482	2.389426588	0.623535894	3	-1.038913273	-0.934601233	-0.10431204	4
YGL030W	Verified	7	439096	439643	+	4.491934663	4.436397672	0.055536991	3	-1.619937262	-1.003192415	-0.616744847	4
YGL031C	Verified	7	437472	437939	-	5.315920888	5.257971333	0.057949556	3	-1.536380926	0.257268306	-1.793649231	2
YGL032C	Verified	7	436575	436838	-	-0.543058576	-0.399168935	-0.14388964	4	-1.391443166	-1.65672356	0.265280395	4
YGL033W	Verified	7	435630	436356	+	-1.506830764	-1.941641882	0.434811118	4	-1.699509458	-1.989760323	0.290250864	4
YGL035C	Verified	7	431553	433067	-	2.662204301	2.496069976	0.166134325	3	-1.398713472	-0.314521166	-1.084192306	4
YGL036W	Uncharacterized	7	428606	431335	+	2.526314342	2.313806758	0.212507584	3	-1.557289332	-0.928064191	-0.629225142	4
YGL037C	Verified	7	427303	427953	-	4.891799189	5.185986288	-0.294187099	3	-0.883679757	1.430357071	-2.314036828	2
YGL038C	Verified	7	425368	426810	-	3.322333295	3.245493018	0.076840277	3	-1.551128147	-0.155893621	-1.395234526	4
YGL039W	Verified	7	423967	425013	+	2.907923776	2.882720725	0.025203051	3	-1.414162691	-0.972839987	-0.441322704	4
YGL040C	Verified	7	419533	420561	-	3.926953103	4.059387131	-0.132434028	3	-1.186715356	-0.165790496	-1.02092486	4
YGL041C-B	Uncharacterized	7	418709	418891	-	-0.941330536	-1.053487713	0.112157177	4	1.996213094	1.477763551	0.518449543	3
YGL043W	Verified	7	417487	418416	+	3.00016398	2.744237833	0.255926147	3	-1.487457153	-1.093169487	-0.394287666	4
YGL044C	Verified	7	416150	417040	-	2.622102883	2.369161115	0.252941767	3	-1.088804921	-0.358624038	-0.730180883	4
YGL045W	Verified	7	414106	415734	+	1.023644972	0.726611766	0.297033206	3	-1.518288582	-1.504513662	-0.01377492	4
YGL047W	Verified	7	411555	412163	+	1.997718834	1.781490048	0.216228786	3	-1.388142712	-1.047956847	-0.340185865	4
YGL048C	Verified	7	410072	411289	-	4.265275396	4.11345826	0.151817136	3	-1.393466161	0.212153042	-1.605619203	2
YGL049C	Verified	7	406863	409607	-	1.996429569	1.665533111	0.330896458	3	-1.536826262	-1.360201978	-0.176624284	4
YGL050W	Uncharacterized	7	405779	406600	+	2.114214947	1.945090141	0.169124806	3	-0.884245506	-0.550611581	-0.333633925	4
YGL051W	Verified	7	403690	404394	+	0.778951418	0.852430947	-0.073479529	3	1.603192518	1.465594834	0.137597684	3
YGL053W	Verified	7	402592	403305	+	2.712205735	2.815497534	-0.1032918	3	-0.313802443	-0.03858222	-0.275220222	4
YGL054C	Verified	7	400874	401290	-	4.587920678	4.731561581	-0.143640902	3	-1.511010026	-1.279682096	-0.23132793	4
YGL055W	Verified	7	398631	400163	+	4.836764326	4.74675878	0.090005546	3	-1.474673948	0.352371148	-1.827045096	2
YGL056C	Verified	7	396041	397624	-	2.837825139	2.605936048	0.231889091	3	-1.505671406	-0.454676327	-1.050995079	4
YGL057C	Uncharacterized	7	394972	395835	-	1.250465796	1.394524861	-0.144059065	3	-1.110260564	-1.173553288	0.063292724	4
YGL058W	Verified	7	393992	394510	+	3.586028394	3.358525699	0.227502695	3	-1.244938334	-0.44007395	-0.804864384	4
YGL059W	Uncharacterized	7	392228	393703	+	1.248230662	1.178575654	0.069655008	3	-1.47692262	-1.453306614	-0.023616006	4
YGL060W	Verified	7	390070	391995	+	1.538279702	1.40886158	0.129418121	3	-1.608850369	-1.568084193	-0.040766176	4
YGL061C	Verified	7	388971	389714	-	1.782462016	1.681687723	0.100774293	3	-1.195918961	-0.908814871	-0.287104091	4
YGL062W	Verified	7	385199	388735	+	1.962567974	1.871402684	0.09116529	3	-1.461706112	-1.079794678	-0.381911434	4
YGL063W	Verified	7	383657	384769	+	1.3524238	1.04714514	0.30527866	3	-0.400296584	-0.033701268	-0.366595315	4
YGL064C	Verified	7	381526	383211	-	1.817108967	1.493938519	0.323170447	3	-1.097946433	-0.720724952	-0.377221481	4
YGL065C	Verified	7	379763	381274	-	2.081165089	2.034868269	0.046296821	3	-1.524840492	-1.528453595	0.003613103	4
YGL066W	Verified	7	377612	379585	+	2.336666354	1.777637458	0.559028896	3	-1.421044079	-0.798873601	-0.622170478	4
YGL067W	Verified	7	376104	377258	+	2.370130009	2.383475349	-0.01334534	3	-1.359516738	-1.085414604	-0.274102134	4
YGL068W	Verified	7	375090	375674	+	4.271272948	4.246024312	0.025248636	3	-1.172867025	-0.526812129	-0.646054897	4
YGL070C	Verified	7	374462	374830	-	4.00036379	3.997383648	0.002980141	3	-1.620950597	-0.515266133	-1.105684463	4
YGL071W	Verified	7	372015	374087	+	1.782155338	1.555238955	0.226916383	3	-1.507532374	-1.120887872	-0.386644502	4
YGL073W	Verified	7	368756	371257	+	2.118550831	1.913565749	0.204985082	3	-1.22536213	-0.627742886	-0.597619244	4
YGL075C	Verified	7	366928	368091	-	1.135701455	0.744384436	0.391317019	3	-1.57191221	-1.558961823	-0.012950387	4
YGL076C	Verified	7	364338	365999	-	1.474614826	1.362839215	0.111775612	3	-1.597565194	-1.763163691	0.165598497	4
YGL077C	Verified	7	362228	363919	-	3.343370754	3.380341136	-0.036970381	3	0.058158887	-0.356289041	0.414447928	1
YGL078C	Verified	7	360291	361862	-	3.842863446	3.385911369	0.456952077	3	-1.04417289	-0.174935252	-0.869237638	4
YGL079W	Uncharacterized	7	359447	360103	+	2.036187006	2.147091995	-0.110904989	3	0.284009409	-0.272756132	0.556765541	1
YGL080W	Uncharacterized	7	358639	359031	+	3.440469261	3.32731016	0.113159101	3	-1.414603152	-1.498451957	0.083848804	4
YGL081W	Uncharacterized	7	357380	358342	+	-0.568392938	-0.550830844	-0.017562094	4	-1.244604736	-1.481300577	0.236695841	4
YGL082W	Uncharacterized	7	355830	356975	+	3.352516881	3.300096244	0.052420637	3	-1.513798943	-0.114653823	-1.39914512	4
YGL083W	Verified	7	353061	355475	+	1.394542398	1.341393761	0.053148637	3	-0.813503798	-0.663683175	-0.149820623	4
YGL084C	Verified	7	350619	352301	-	3.521664848	3.55467004	-0.033005193	3	-1.583647461	-0.539312723	-1.044334738	4
YGL085W	Uncharacterized	7	349619	350443	+	1.880563128	1.503584808	0.376978321	3	-1.394164925	-1.291284748	-0.102880177	4
YGL086W	Verified	7	347122	349371	+	1.411795454	1.040353425	0.371442028	3	-1.546311346	-1.531348472	-0.014962874	4
YGL087C	Verified	7	346409	346907	-	3.887014423	4.091963561	-0.204949138	3	-1.227585757	0.208759601	-1.436345358	2
YGL089C	Verified	7	344794	345156	-	-0.715014375	-0.854624145	0.13960977	4	0.165516918	-0.323004484	0.488521402	1
YGL090W	Verified	7	343322	344587	+	0.501665192	0.132120498	0.369544694	3	-1.587884027	-1.760868034	0.172984008	4
YGL091C	Verified	7	342059	343045	-	2.56237742	2.310762466	0.251614954	3	-1.375170177	-0.827585703	-0.547584474	4
YGL092W	Verified	7	337909	341862	+	2.48015456	2.310199878	0.169954682	3	-1.565881985	-1.258067282	-0.307814704	4
YGL093W	Verified	7	334889	337642	+	1.846625412	1.594414725	0.252210687	3	-1.500037213	-1.04746868	-0.452568533	4
YGL094C	Verified	7	331121	334468	-	2.80838392	2.541592261	0.266791659	3	-1.596775407	-1.101009678	-0.495765729	4
YGL095C	Verified	7	328877	330610	-	2.407411943	2.254720945	0.152690998	3	-1.621524396	-1.296906164	-0.324618232	4
YGL096W	Verified	7	325334	326164	+	1.60839306	1.752586471	-0.144193411	3	-0.874072295	-0.839608329	-0.034463967	4
YGL097W	Verified	7	321785	323233	+	3.912471853	3.638342301	0.274129551	3	-0.987841518	0.095274914	-1.083116431	2
YGL098W	Verified	7	317345	318082	+	2.21662362	1.863489999	0.35313362	3	-1.405381773	-1.203556837	-0.201824936	4
YGL099W	Verified	7	314634	316556	+	2.304659033	1.716956991	0.587702042	3	-1.585268966	-1.255435216	-0.32983375	4
YGL100W	Verified	7	313237	314286	+	3.409997772	3.395309256	0.014688517	3	-1.412164074	-0.596030679	-0.816133395	4
YGL101W	Uncharacterized	7	312196	312843	+	3.454353346	3.450522727	0.003830619	3	-0.650587413	-0.170395651	-0.480191763	4
YGL103W	Verified	7	310970	311930	+	4.926045856	4.76413874	0.161907116	3	-1.537571992	-0.272181846	-1.265390146	4
YGL104C	Verified	7	308716	310176	-	1.694508044	2.067972894	-0.37346485	3	0.167913835	-0.252299294	0.420213128	1
YGL105W	Verified	7	307440	308570	+	4.638850047	4.524741394	0.114108653	3	-1.301224223	0.86862384	-2.169848063	2
YGL106W	Verified	7	306563	307012	+	4.16809467	3.933204005	0.234890665	3	-1.353866924	-0.131501549	-1.222365375	4
YGL107C	Verified	7	304336	306276	-	1.793880075	1.564266134	0.229613941	3	-1.59260216	-1.539913946	-0.052688214	4
YGL108C	Uncharacterized	7	303652	304074	-	2.734876971	2.473310906	0.261566065	3	-1.428070193	-0.93819338	-0.489876813	4
YGL110C	Uncharacterized	7	301540	303414	-	1.434065087	1.18140636	0.252658727	3	-1.59775143	-1.453663258	-0.144088171	4
YGL111W	Verified	7	299981	301372	+	2.996251469	2.521744045	0.474507423	3	-1.32755621	-0.8031925	-0.52436371	4
YGL112C	Verified	7	298181	299731	-	3.342554435	3.095467558	0.247086877	3	-1.513887785	-0.94281803	-0.571069754	4
YGL113W	Verified	7	295935	297941	+	1.521605286	1.150797939	0.370807347	3	-1.55599674	-1.396215362	-0.159781377	4
YGL114W	Uncharacterized	7	293463	295640	+	2.827027299	2.62825016	0.198777139	3	-1.445216741	-0.571760316	-0.873456425	4
YGL115W	Verified	7	292036	293004	+	3.658937082	3.627635677	0.031301404	3	-1.448082706	-0.928679557	-0.519403149	4
YGL116W	Verified	7	289812	291644	+	1.750105634	1.384854749	0.365250885	3	-1.466653385	-1.377978703	-0.088674682	4
YGL117W	Uncharacterized	7	288518	289315	+	2.334609709	1.393188856	0.941420852	3	-1.096225772	-1.087448124	-0.008777648	4
YGL119W	Verified	7	284448	285953	+	2.904008936	2.644564121	0.259444815	3	-1.572411999	-1.049975497	-0.522436502	4
YGL120C	Verified	7	281640	283943	-	3.438352077	3.049834276	0.388517801	3	-1.516294639	-0.534652761	-0.981641878	4
YGL121C	Verified	7	280783	281163	-	0.770588168	1.271709074	-0.501120905	3	-0.507966545	-0.81147433	0.303507785	4
YGL122C	Verified	7	278952	280529	-	3.327830155	3.03850085	0.289329305	3	-1.359620861	-0.009418721	-1.35020214	4
YGL123W	Verified	7	277623	278387	+	5.758611753	5.643226149	0.115385604	3	-1.256824927	1.343540293	-2.60036522	2
YGL124C	Verified	7	274786	276720	-	1.906034582	1.782729621	0.123304961	3	-1.398962541	-1.16162793	-0.23733461	4
YGL125W	Verified	7	272526	274328	+	2.074878428	1.854557497	0.220320931	3	-0.426262522	0.259043452	-0.685305973	2
YGL126W	Verified	7	271003	272145	+	3.242620726	3.264252641	-0.021631916	3	-0.318389301	0.585756005	-0.904145306	2
YGL127C	Verified	7	270398	270781	-	3.26487972	3.306102408	-0.041222688	3	-1.026697833	-0.086580529	-0.940117303	4
YGL128C	Verified	7	269299	270150	-	2.09191258	1.940858241	0.151054338	3	-1.1158699	-0.724307421	-0.391562479	4
YGL129C	Verified	7	267728	269194	-	2.790599526	2.774698501	0.015901026	3	-1.533858261	-1.129621465	-0.404236796	4
YGL130W	Verified	7	266150	267529	+	2.868843346	2.697158755	0.171684591	3	-1.377099937	-0.532993336	-0.844106602	4
YGL131C	Verified	7	261653	265864	-	1.182684738	0.866705659	0.315979079	3	-1.615701571	-1.616993484	0.001291913	4
YGL133W	Verified	7	257712	261506	+	1.328358257	0.898354008	0.430004249	3	-0.977837926	-0.962199205	-0.015638721	4
YGL134W	Verified	7	255668	256969	+	2.00085618	1.816245167	0.184611013	3	-1.060490722	-0.716154523	-0.344336199	4
YGL135W	Verified	7	254646	255299	+	5.40207948	5.430967584	-0.028888104	3	-1.629559133	0.126361849	-1.755920982	2
YGL136C	Verified	7	252902	253864	-	2.08521253	1.962242993	0.122969537	3	-0.344238169	-0.280478048	-0.063760121	4
YGL137W	Verified	7	249874	252743	+	3.816518012	3.70041654	0.116101472	3	-1.241624326	-0.126556336	-1.11506799	4
YGL138C	Uncharacterized	7	248499	249536	-	-1.631870412	-1.950557625	0.318687213	4	-1.687361291	-1.889633768	0.202272478	4
YGL139W	Uncharacterized	7	245721	248129	+	3.043624354	2.781289654	0.262334699	3	-1.53821108	-0.887597112	-0.650613968	4
YGL140C	Uncharacterized	7	241358	245017	-	2.597897915	2.317483882	0.280414033	3	-1.550535708	-1.095297402	-0.455238306	4
YGL141W	Verified	7	238358	241090	+	1.887930413	1.768314544	0.119615869	3	-1.560095102	-1.447341305	-0.112753797	4
YGL142C	Verified	7	236274	238124	-	3.255617589	3.216614188	0.039003402	3	-1.540537836	-1.179800586	-0.360737251	4
YGL143C	Verified	7	234722	235963	-	1.915471234	1.832217489	0.083253745	3	-1.393880884	-1.080496137	-0.313384747	4
YGL144C	Verified	7	232455	234512	-	0.609527077	0.067113905	0.542413172	3	-1.645483747	-1.742208176	0.096724429	4
YGL145W	Verified	7	230248	232353	+	1.577852275	1.291495282	0.286356993	3	-1.581633897	-1.639563448	0.057929551	4
YGL146C	Uncharacterized	7	228756	229691	-	-0.019194119	0.001801587	-0.020995707	2	-1.191961754	-1.388778236	0.196816482	4
YGL147C	Verified	7	227759	228334	-	5.476665751	5.393675917	0.082989834	3	-1.573619182	0.814569526	-2.388188708	2
YGL148W	Verified	7	226404	227534	+	4.572339545	4.389464665	0.18287488	3	-1.009533524	0.835316716	-1.84485024	2
YGL150C	Verified	7	221109	225578	-	2.665918447	2.264036912	0.401881535	3	-1.566280943	-1.164631402	-0.401649541	4
YGL151W	Verified	7	217529	220927	+	2.320976811	2.173459687	0.147517124	3	-1.582702058	-1.220871535	-0.361830523	4
YGL153W	Verified	7	216278	217303	+	1.920725791	1.572735085	0.347990706	3	-1.173558584	-0.948290566	-0.225268018	4
YGL154C	Verified	7	215283	216101	-	0.748926581	0.695682465	0.053244116	3	-0.905101656	-0.859057448	-0.046044208	4
YGL155W	Verified	7	214086	215216	+	2.732214277	2.384461573	0.347752705	3	-1.584642049	-1.264229898	-0.32041215	4
YGL156W	Verified	7	210421	213672	+	-0.442539264	-0.081967812	-0.360571452	4	0.286124628	-0.233268838	0.519393466	1
YGL157W	Verified	7	209011	210054	+	3.219314616	3.454926802	-0.235612186	3	-1.53548844	-0.993925736	-0.541562703	4
YGL158W	Verified	7	207038	208576	+	-0.968611084	-1.41475133	0.446140247	4	-1.60913616	-1.842596243	0.233460083	4
YGL159W	Uncharacterized	7	202727	203839	+	2.250407216	2.169800591	0.080606626	3	-1.184727855	-1.233513761	0.048785906	4
YGL160W	Uncharacterized	7	200567	202279	+	2.980147094	3.077781026	-0.097633932	3	-1.521975453	-1.023752782	-0.498222671	4
YGL161C	Verified	7	199216	200148	-	4.085182934	4.192305215	-0.107122281	3	-1.364199503	0.679793429	-2.043992933	2
YGL162W	Verified	7	198144	199043	+	1.323445353	0.74219883	0.581246523	3	-1.372497111	-1.347073772	-0.025423339	4
YGL163C	Verified	7	193713	196409	-	1.319678475	1.008620897	0.311057578	3	-1.475842215	-1.337114771	-0.138727444	4
YGL164C	Verified	7	191984	193306	-	1.625507497	1.233652837	0.39185466	3	-1.514701061	-1.390847845	-0.123853216	4
YGL166W	Verified	7	191135	191812	+	2.989302117	2.759239925	0.230062192	3	-1.064414661	0.317910025	-1.382324686	2
YGL167C	Verified	7	187622	190474	-	3.672123914	3.473222739	0.198901175	3	-1.468997474	-0.376100088	-1.092897386	4
YGL168W	Uncharacterized	7	187470	187802	+	-1.224139354	-0.936738445	-0.287400909	4	2.98574018	2.740608889	0.245131291	3
YGL169W	Verified	7	186065	187345	+	2.923046428	2.560979204	0.362067224	3	-1.408585799	-1.037813518	-0.370772281	4
YGL170C	Verified	7	184159	185400	-	-1.39207869	-1.744193673	0.352114984	4	-1.297615553	-1.550684062	0.253068508	4
YGL171W	Verified	7	182396	184090	+	2.262251702	1.618291985	0.643959716	3	-1.597738614	-1.563573939	-0.034164675	4
YGL172W	Verified	7	180706	182124	+	3.406402727	3.136336416	0.270066311	3	-1.421445706	-0.120628703	-1.300817002	4
YGL173C	Verified	7	175533	180119	-	3.637544589	3.410001124	0.227543465	3	-1.536130793	-0.781459753	-0.75467104	4
YGL174W	Verified	7	174551	175351	+	0.626729799	0.414651042	0.212078757	3	-1.51435052	-1.645873607	0.131523087	4
YGL175C	Verified	7	173291	174328	-	0.62751527	0.288766691	0.338748579	3	-1.379006357	-1.587453777	0.20844742	4
YGL176C	Uncharacterized	7	171421	173085	-	1.489494732	1.275895436	0.213599295	3	-1.579358313	-1.529007655	-0.050350658	4
YGL178W	Verified	7	167358	170577	+	2.811495442	2.677862405	0.133633038	3	-1.40565819	-0.796145741	-0.609512448	4
YGL179C	Verified	7	163415	165097	-	1.336884256	1.423956839	-0.087072583	3	-1.518202067	-1.36479747	-0.153404597	4
YGL180W	Verified	7	160071	162764	+	0.757156188	0.426375062	0.330781126	3	-1.437564301	-1.527070688	0.089506387	4
YGL181W	Verified	7	157912	159102	+	3.121088686	3.054814785	0.0662739	3	-1.225527934	-0.304413996	-0.921113938	4
YGL183C	Verified	7	156549	157291	-	-0.784123767	-1.007960488	0.223836721	4	-1.685278027	-1.88412579	0.198847763	4
YGL184C	Verified	7	154621	156018	-	-0.508381005	-1.106552945	0.59817194	4	-0.759664726	-0.96627991	0.206615184	4
YGL185C	Uncharacterized	7	153173	154312	-	1.362532359	1.091290032	0.271242327	3	-1.356922471	-1.182530584	-0.174391887	4
YGL186C	Verified	7	151043	152782	-	3.143885706	3.20723273	-0.063347024	3	-1.507194644	-1.112756617	-0.394438026	4
YGL187C	Verified	7	149710	150177	-	4.379883059	4.390959165	-0.011076106	3	-0.821360099	-0.302326924	-0.519033175	4
YGL188C-A	Uncharacterized	7	148830	148970	-	2.216525165	1.987941642	0.228583523	3	-1.717375921	-1.879490094	0.162114173	4
YGL189C	Verified	7	148235	148594	-	5.589898572	5.549578547	0.040320025	3	-1.274993744	0.925217673	-2.200211417	2
YGL190C	Verified	7	145815	147395	-	2.850759253	2.611003554	0.239755699	3	-1.474067457	-0.973302202	-0.500765255	4
YGL191W	Verified	7	144814	145203	+	4.139458039	4.114206002	0.025252037	3	-1.295964632	0.307831752	-1.603796384	2
YGL192W	Verified	7	142252	144054	+	1.86627043	1.554246436	0.312023995	3	-1.230391206	-1.011319048	-0.219072158	4
YGL194C	Verified	7	140374	141732	-	0.955624765	1.001784534	-0.046159769	3	-1.067795716	-1.241282097	0.173486381	4
YGL195W	Verified	7	131531	139549	+	3.616561754	3.352827965	0.263733789	3	-1.568157174	-0.741446506	-0.826710668	4
YGL196W	Uncharacterized	7	129888	131174	+	2.534783445	2.784764172	-0.249980727	3	-0.996185288	-0.888961869	-0.107223419	4
YGL197W	Verified	7	124703	129166	+	1.791254313	1.677842305	0.113412008	3	-1.513021639	-1.129210291	-0.383811348	4
YGL198W	Verified	7	123596	124303	+	2.980698278	3.117012022	-0.136313744	3	-0.436773231	0.319347559	-0.756120789	2
YGL200C	Verified	7	122699	123310	-	4.906866913	4.925186345	-0.018319432	3	-1.032204868	1.370162936	-2.402367804	2
YGL201C	Verified	7	117858	120911	-	2.238998137	1.866018534	0.372979603	3	-1.442778597	-1.037259964	-0.405518633	4
YGL202W	Verified	7	116063	117565	+	4.676081568	4.5139585	0.162123069	3	-1.406873993	0.752289223	-2.159163217	2
YGL203C	Verified	7	112479	114668	-	3.005815464	2.738421763	0.267393702	3	-1.334552892	-0.591003103	-0.743549789	4
YGL205W	Verified	7	108162	110408	+	-1.341861577	-1.427417432	0.085555855	4	0.446971884	-0.140310843	0.587282727	1
