# From Lipson et al. Nature Biotech (2009) supplementary table 1
# downloaded from http://www.nature.com.ezp-prod1.hul.harvard.edu/nbt/journal/v27/n7/extref/nbt.1551-S2.xls on 8/28/2009
orf	gene	chan7	chan8	chan9	chan10	chan11	chan12	chan.avg	stdev	inter.channel.cv	inter.prep.cv	microarray	nagalakshmi
YDL208W	NHP2	424	439.1	435.1	468.8	464.6	471.1	450.45	20.14	0.018	0.081	3270	129
YDL209C	CWC2	33.8	34.4	32.6	33.9	31.3	33.1	33.18	1.12	0.027	0.010	467	4.5
YDL210W	UGA4	8.8	10	9.6	8.9	10.2	9.6	9.52	0.57	0.065	0.030	168	2
YDL211C	YDL211C	11.3	11.5	11	12.5	12	13	11.88	0.76	0.022	0.052	224	1.5
YDL212W	SHR3	193.6	192	195.9	202.5	200	202.2	197.7	4.5	0.010	0.024	1909	72
YDL213C	NOP6	154.8	163.3	162.4	169.7	177	182.8	168.33	10.3	0.029	0.136	1817	34
YDL214C	PRR2	2.3	1.5	2.8	2.6	2.8	2.4	2.4	0.49	0.298	0.088	53	1
YDL215C	GDH2	111	102.7	106.7	111.6	105.8	100.8	106.43	4.33	0.039	0.016	1674	14.5
YDL216C	RRI1	17.4	17.2	17.4	16.6	19.3	18.3	17.7	0.95	0.007	0.024	186	5
YDL217C	TIM22	45.4	44.1	45.4	49.7	45.2	44.9	45.78	1.98	0.017	0.051	273	8
YDL218W	YDL218W	4.7	4.4	5.1	4.8	4.1	3	4.35	0.74	0.074	0.152	61	4
YDL220C	CDC13	9.1	10	10.1	11.1	9.7	10	10	0.65	0.057	0.128	92	NA
YDL221W	YDL221W	1.4	1.4	0.9	1.2	0.5	1	1.07	0.34	0.234	0.167	NA	NA
YDL222C	FMP45	9.4	8	9.3	7.4	7.7	8.4	8.37	0.83	0.088	0.129	42	1.5
YDL223C	HBT1	16.3	18	18.1	15	16	16	16.57	1.23	0.058	0.049	162	3
YDL224C	WHI4	55.5	52.2	56.4	51.8	47.8	50.3	52.33	3.21	0.040	0.049	725	5
YDL225W	SHS1	59.4	63.4	61.4	61.1	61.6	59.8	61.12	1.43	0.033	0.027	1215	63
YDL226C	GCS1	137	136.8	138	130.3	127.9	126.4	132.73	5.14	0.005	0.031	425	19
YDL227C	HO	100.5	97	102.4	105.1	102.1	99	101.02	2.84	0.027	0.044	1261	1
YDL228C	YDL228C	0.2	0.2	0.5	0	0.3	0.3	0.25	0.16	0.577	1.000	NA	NA
YDL229W	SSB1	2118.2	2113.8	2117.6	2062.2	2030.4	2044.7	2081.15	40.08	0.001	0.015	15794	NA
YDL230W	PTP1	38.5	37.8	37.1	35.6	35.8	35.9	36.78	1.2	0.019	0.049	382	27.5
YDL231C	BRE4	58.5	59.4	60.2	58.1	56.7	60.4	58.88	1.4	0.014	0.019	1478	21
YDL232W	OST4	274.1	270.7	277.5	266.1	262.6	267.8	269.8	5.44	0.012	0.038	391	176
YDL233W	YDL233W	24.6	25	24.4	24.3	23.2	27.5	24.83	1.44	0.012	0.041	223	7
YDL234C	GYP7	40.3	42.7	41.5	39.4	39	39.9	40.47	1.39	0.029	0.054	558	45.5
YDL235C	YPD1	144.8	145.6	149.9	148	140.3	145.8	145.73	3.25	0.019	0.011	713	80.5
YDL236W	PHO13	135.5	128.8	131.8	133	130.1	131.7	131.82	2.33	0.025	0.009	1819	171
YDL237W	YDL237W	77	74.7	74.8	72	70.4	70.7	73.27	2.64	0.017	0.034	557	61.5
YDL238C	GUD1	7.9	8.6	9.5	8.2	7.6	8.5	8.38	0.66	0.093	0.087	62	10.5
YDL239C	ADY3	15.6	17.3	18	16.5	20	19.8	17.87	1.77	0.073	0.060	300	8.5
YDL240C-A	YDL240C-A	0.3	0.2	0.3	0.3	0.3	0.6	0.33	0.14	0.217	0.433	NA	1
YDL240W	LRG1	48.5	46.3	48.5	52.5	47.8	50.9	49.08	2.24	0.027	0.044	680	7.5
YDL241W	YDL241W	31.3	34	36.5	35.7	35.5	32.3	34.22	2.06	0.077	0.095	394	43.5
YDL242W	YDL242W	1.1	0.8	0.9	0.6	0.8	0.9	0.85	0.16	0.164	0.377	NA	1
YDL243C	AAD4	17.3	17.2	15.9	13.6	16.8	14.4	15.87	1.55	0.046	0.120	89	NA
YDL244W	THI13	6.5	9	3.2	5.4	2.7	3.8	5.1	2.38	0.467	0.173	244	NA
YDL245C	HXT15	0.6	0.1	0.6	0.6	0.9	0.4	0.53	0.27	0.666	0.217	1	NA
YDL246C	SOR2	14.2	13.4	14.6	13.6	12.7	13.3	13.63	0.68	0.043	0.114	211	NA
YDL247W	MPH2	2.8	3.6	3.5	3.1	4.8	3.7	3.58	0.69	0.132	0.204	24	NA
YDL247W-A	YDL247W-A	3.1	3.4	3.7	3.4	3.8	4.6	3.67	0.52	0.088	0.187	NA	NA
YDL248W	COS7	41.6	46.4	40.1	43.7	42.2	45.1	43.18	2.34	0.077	0.058	959	NA
YDR001C	NTH1	90.6	92.6	86.8	98.2	97.3	101.8	94.55	5.53	0.033	0.044	1129	39
YDR002W	YRB1	543.7	538.5	528.5	556.7	546.7	545.2	543.22	9.35	0.014	0.065	3580	430.5
YDR003W	RCR2	51	50.8	55.1	52.7	49.1	56.9	52.6	2.93	0.046	0.058	1435	NA
YDR003W-A	YDR003W-A	12.3	11.5	13.5	13.8	12.6	12.3	12.67	0.85	0.081	0.089	633	23
YDR004W	RAD57	41.4	39.6	42.8	38.2	41.8	39.3	40.52	1.75	0.039	0.042	531	32
YDR006C	SOK1	84.4	85.5	89.5	89.8	89.3	90.8	88.22	2.61	0.031	0.035	1511	49
YDR007W	TRP1	80.2	74	73.7	77.7	78.9	78.6	77.18	2.71	0.048	0.017	NA	NA
YDR008C	YDR008C	4.3	5.6	5.1	5	4.7	5.1	4.97	0.44	0.131	0.150	NA	NA
YDR009W	GAL3	9.2	8.3	7.4	7.1	9	8.2	8.2	0.84	0.108	0.130	118	NA
YDR010C	YDR010C	0.2	0.1	0.2	0.3	0.2	0	0.17	0.1	0.346	0.217	NA	NA
YDR011W	SNQ2	564.3	575.2	569.2	574.9	582.9	573.5	573.33	6.26	0.010	0.019	7700	108
YDR012W	RPL4B	1253.9	1263.9	1266.9	1255.2	1316	1293.1	1274.83	24.64	0.005	0.024	10453	579
YDR013W	PSF1	56.4	57	56	54.3	54.8	57.6	56.02	1.27	0.009	0.046	634	48
YDR014W	RAD61	16.6	15.7	14.5	17.7	17.3	17	16.47	1.18	0.068	0.062	180	4.5
YDR014W-A	HED1	2.6	2.8	1.6	2	2.4	2.2	2.27	0.43	0.276	0.144	NA	NA
YDR015C	YDR015C	2.3	2.4	2.6	2.5	2.6	2.6	2.5	0.13	0.063	0.192	NA	NA
YDR016C	DAD1	146.1	148.3	144.4	137.7	137.8	137.7	142	4.83	0.013	0.125	422	41.5
YDR017C	KCS1	87.8	89.3	86.2	86.9	84.2	85.6	86.67	1.77	0.018	0.020	1274	39.5
YDR018C	YDR018C	12.4	12.6	13.3	13	13.4	15.7	13.4	1.19	0.037	0.030	217	8
YDR019C	GCV1	133.3	138.9	143.6	149.3	145	151	143.52	6.59	0.037	0.066	1981	104.5
YDR020C	YDR020C	26.4	23.7	26	27.3	28.7	27.3	26.57	1.68	0.057	0.028	142	8.5
YDR021W	FAL1	34.7	32.4	30.7	31	35.8	33	32.93	2.02	0.062	0.084	711	NA
YDR022C	CIS1	32.1	31.4	32.7	34.1	29.6	31.8	31.95	1.49	0.020	0.066	232	NA
YDR023W	SES1	431.7	446.7	435.3	427.9	438.6	444.4	437.43	7.27	0.018	0.043	4499	380
YDR024W	FYV1	119.1	124.4	120.5	172.4	162.3	148.8	141.25	23.13	0.023	0.248	NA	NA
YDR026C	YDR026C	48.4	46.3	46.4	47.8	42.3	51.5	47.12	3.02	0.025	0.069	686	18
YDR027C	VPS54	41.8	44.4	43.5	42.6	44.3	42.4	43.17	1.07	0.031	0.012	565	11
YDR028C	REG1	66.8	63.3	64.5	64.8	68.6	64.3	65.38	1.95	0.027	0.045	412	35.5
YDR029W	YDR029W	0.5	0.6	0.9	0.3	0.2	0.9	0.57	0.29	0.312	0.327	NA	3
YDR030C	RAD28	13.8	13.3	11.4	12.8	11.7	14.1	12.85	1.1	0.099	0.038	258	11
YDR031W	MIC14	70.7	66.4	64.1	59.2	56.4	54.9	61.95	6.15	0.050	0.102	184	50
YDR032C	PST2	365.5	373.1	372.4	369.8	365.8	369.1	369.28	3.19	0.011	0.041	3388	238
YDR033W	MRH1	1026.9	1015.8	1017.9	1046.3	1055.1	1049.6	1035.27	17.15	0.006	0.013	10837	508.5
YDR034C	LYS14	63.3	61.1	64.3	65.4	70.9	64.8	64.97	3.27	0.026	0.061	923	28.5
YDR034C-A	YDR034C-A	11.8	11.8	9.6	8.8	8.3	6.4	9.45	2.1	0.115	0.164	307	NA
YDR034C-C	YDR034C-C	0	0	0	0	0	0	0	0	N/A	N/A	NA	NA
YDR034C-D	YDR034C-D	30.4	29.4	34.9	29.3	71.8	32.8	38.1	16.65	0.093	0.219	NA	NA
YDR034W-B	YDR034W-B	10.3	10	12.2	9.8	11.5	9.4	10.53	1.08	0.110	0.035	66	75
YDR035W	ARO3	450.8	444.1	452.7	477.6	469.1	464.7	459.83	12.69	0.010	0.057	3361	75.5
YDR036C	EHD3	47.6	48.2	47.5	49.9	51.4	49.8	49.07	1.55	0.008	0.066	773	13.5
YDR037W	KRS1	711.8	728.5	727.1	742.2	735.9	725.6	728.52	10.31	0.013	0.045	8396	246
YDR038C	ENA5	34.3	39.2	33.4	22	35.1	35.5	33.25	5.86	0.088	0.240	298	6.5
YDR039C	ENA2	79.1	69.9	76.3	87.8	76	79.4	78.08	5.86	0.063	0.055	NA	NA
YDR040C	ENA1	2.5	2.7	5.4	3	4.1	3.8	3.58	1.09	0.458	0.138	NA	NA
YDR041W	RSM10	66.8	66	65.5	65.6	64.5	68.9	66.22	1.51	0.010	0.022	502	45.5
YDR042C	YDR042C	11.9	11.3	10.8	11.3	11.3	12	11.43	0.45	0.049	0.058	222	1
YDR043C	NRG1	40.5	40.8	36.8	37.8	36.4	39.2	38.58	1.87	0.057	0.036	488	14.5
YDR044W	HEM13	208.8	208.5	208.2	203.8	211.1	206.7	207.85	2.44	0.001	0.037	1951	109.5
YDR045C	RPC11	86.6	86.8	79.6	84.7	84.5	87.1	84.88	2.82	0.049	0.044	584	91.5
YDR046C	BAP3	178.5	187.2	198.6	181.8	178.9	183.2	184.7	7.51	0.054	0.010	2928	197
YDR047W	HEM12	91.9	87.4	93	92.9	83.5	84	88.78	4.41	0.033	0.033	1235	75
YDR048C	YDR048C	0.3	0.6	0.5	0.7	0.5	0.4	0.5	0.14	0.327	0.408	NA	7
YDR049W	YDR049W	35.3	37.1	35.7	39.4	34.8	39	36.88	1.95	0.026	0.086	573	14
YDR050C	TPI1	3531.3	3529.6	3499.8	3366.1	3280.7	3363.3	3428.47	105.7	0.005	0.106	17482	3189
YDR051C	YDR051C	82.2	81.6	82.8	84.3	88	84.6	83.92	2.32	0.007	0.104	880	14.5
YDR052C	DBF4	46.9	47.2	45.5	45.6	47.2	45	46.23	0.98	0.019	0.057	525	12.5
YDR053W	YDR053W	0.4	0.4	0.5	0.4	0.5	0.3	0.42	0.08	0.133	0.346	NA	NA
YDR054C	CDC34	80.6	80.9	75.8	81.6	85.8	90.7	82.57	5.1	0.036	0.014	871	29.5
YDR055W	PST1	182.1	190.4	189.8	191.6	195.4	192.4	190.28	4.46	0.025	0.026	2170	89.5
YDR056C	YDR056C	143.7	151.8	138.8	152.5	151.7	150.9	148.23	5.65	0.045	0.044	899	49.5
YDR057W	YOS9	42.6	40.3	44.3	40.9	41.9	39.5	41.58	1.73	0.047	0.048	302	17
YDR058C	TGL2	15.2	13.3	14.4	15.3	14.1	13.7	14.33	0.8	0.067	0.025	243	6.5
YDR060W	MAK21	182.8	183.7	182.3	190.5	191.3	194.7	187.55	5.27	0.004	0.057	2100	73.5
YDR061W	YDR061W	38.8	39	42.9	40	39.3	37.2	39.53	1.89	0.057	0.026	518	34
YDR062W	LCB2	128.2	122.9	133.6	149.2	153.3	145.3	138.75	12.27	0.042	0.115	2395	60
YDR063W	YDR063W	103.3	101.8	105.2	102.8	110.3	111.5	105.82	4.11	0.016	0.007	1332	42
YDR065W	YDR065W	26.6	28.3	29.1	30.6	31.9	33.3	29.97	2.45	0.046	0.108	222	3
YDR066C	YDR066C	13.8	12.7	13.4	13.6	14.3	11.6	13.23	0.96	0.042	0.011	248	19
YDR067C	YDR067C	62.7	64.3	60.4	64.2	61.7	64.3	62.93	1.63	0.031	0.040	404	19
YDR068W	DOS2	76.9	73.4	73.6	75.4	72.4	77	74.78	1.94	0.026	0.021	894	26
YDR069C	DOA4	23.6	23.3	25.6	23.7	24	23.1	23.88	0.9	0.052	0.060	346	6
YDR070C	YDR070C	21.3	21.1	21.8	21	22.3	24.1	21.93	1.17	0.017	0.087	125	19.5
YDR071C	PAA1	226.7	233.2	224.2	241.3	229.4	236	231.8	6.31	0.020	0.042	1441	200
YDR072C	IPT1	284.6	276	270.8	272.4	276.8	266.4	274.5	6.22	0.025	0.026	1832	55
YDR073W	SNF11	84.7	86.8	86.7	82.8	80.1	85.6	84.45	2.59	0.014	0.014	868	38
YDR074W	TPS2	100.4	102.5	102.7	115.4	112.7	103.8	106.25	6.2	0.013	0.070	1070	49.5
YDR075W	PPH3	66.9	67.6	65.2	62.9	64.7	62.9	65.03	1.97	0.019	0.033	1392	12
YDR076W	RAD55	12.1	12.8	13.1	11.1	11.7	11.1	11.98	0.84	0.041	0.057	74	2
YDR077W	SED1	2367.4	2408	2409.9	2309.9	2357.4	2349.1	2366.95	37.93	0.010	0.056	11541	1323
YDR078C	SHU2	26.7	26.5	27.9	22	23.5	27.9	25.75	2.44	0.028	0.144	322	13
YDR079C-A	TFB5	65.5	62.6	61.5	57.9	54.1	56.2	59.63	4.29	0.033	0.082	268	46.5
YDR079W	PET100	60	53.1	55.8	51.5	49.1	50	53.25	4.07	0.062	0.095	290	34.5
YDR080W	VPS41	79.4	77.7	84.1	81.2	77.9	74	79.05	3.43	0.041	0.049	337	26
YDR081C	PDC2	48.8	46	46.8	50.7	49.5	47.2	48.17	1.79	0.031	0.021	529	16
YDR082W	STN1	21.4	21.2	17.4	20.8	22.1	22.1	20.83	1.76	0.113	0.077	340	9.5
YDR083W	RRP8	76.6	75.5	79	83.1	79.5	80.9	79.1	2.78	0.023	0.092	965	36
YDR084C	TVP23	73.9	72.4	67.4	70	71.9	73	71.43	2.37	0.048	0.050	676	37
YDR085C	AFR1	79	77.8	81.8	81	77.2	81.7	79.75	2.02	0.026	0.045	2051	26
YDR086C	SSS1	700	691.8	706.3	669.3	657.5	680	684.15	18.7	0.010	0.159	2126	758
YDR087C	RRP1	77.7	76.9	76.7	75.5	77.5	77.1	76.9	0.78	0.007	0.021	905	28
YDR088C	SLU7	51.9	52.5	49.3	58.2	61.4	60.3	55.6	5.01	0.033	0.213	646	21.5
YDR089W	YDR089W	65.7	62.5	62.1	65.2	64.5	63.9	63.98	1.45	0.031	0.016	980	18
YDR090C	YDR090C	37.1	39.6	42.2	39.9	41.5	40.9	40.2	1.8	0.064	0.060	302	20.5
YDR091C	RLI1	141.9	146.7	136	142.2	140.3	143.8	141.82	3.58	0.038	0.003	1692	34
YDR093W	DNF2	107.2	116.5	109.1	106.1	112.5	110.9	110.38	3.8	0.044	0.024	1803	NA
YDR094W	YDR094W	1	1.4	1.5	1.1	2.6	1.4	1.5	0.57	0.204	0.091	NA	NA
YDR095C	YDR095C	3.9	3.4	3.8	3.1	2.8	2.6	3.27	0.53	0.072	0.117	NA	NA
YDR096W	GIS1	45.7	47	47.2	49.6	46.5	47.4	47.23	1.31	0.017	0.050	1324	12.5
YDR097C	MSH6	48.1	48.5	47.6	49	47.7	46	47.82	1.03	0.009	0.020	629	18.5
YDR098C	GRX3	160.8	160.3	168.9	162.7	160.8	170.5	164	4.52	0.030	0.007	1928	119.5
YDR098C-A	YDR098C-A	0	0	0	0	0	0	0	0	N/A	N/A	NA	NA
YDR098C-B	YDR098C-B	68.3	66.1	72.4	78.1	80.4	75.7	73.5	5.6	0.046	0.074	NA	NA
YDR099W	BMH2	184	181.2	192.2	184.1	200	183.5	187.5	7.18	0.031	0.062	3762	176
YDR100W	TVP15	126.7	118.3	119.9	125.1	123.1	127.6	123.45	3.74	0.037	0.048	960	71.5
YDR101C	ARX1	137.2	137.8	136.8	137.6	138.5	140.7	138.1	1.4	0.004	0.024	1411	39.5
YDR102C	YDR102C	2.4	2.7	2.6	2.1	2.5	2	2.38	0.28	0.060	0.106	NA	1
YDR103W	STE5	55.5	52.5	54.2	52.1	54.3	55.3	53.98	1.41	0.028	0.101	1195	NA
YDR104C	SPO71	15.2	14.1	15.4	15.4	13.2	15.1	14.73	0.89	0.047	0.008	133	NA
YDR105C	TMS1	57.1	58	57.4	56.2	60	57.8	57.75	1.27	0.008	0.041	1221	21.5
YDR106W	ARP10	6.7	6	6.2	7.2	6.5	6.8	6.57	0.43	0.057	0.090	83	1
YDR107C	YDR107C	9.3	10.4	11.3	12.5	10.8	11.6	10.98	1.09	0.097	0.146	361	3.5
YDR108W	GSG1	31.3	27.6	29.4	28.4	29.1	30.2	29.33	1.31	0.063	0.049	300	5
YDR109C	YDR109C	28.9	25.4	27.1	28	24.6	25.9	26.65	1.64	0.065	0.038	218	4
YDR110W	FOB1	25.8	22.9	23.9	26.1	24.6	23.3	24.43	1.31	0.061	0.015	484	3
YDR111C	ALT2	39.9	40.5	39.8	39.1	38.6	39.5	39.57	0.66	0.009	0.014	677	17.5
YDR112W	YDR112W	0.3	0.3	0.3	0.2	0.4	0.1	0.27	0.1	0.000	0.568	NA	NA
YDR113C	PDS1	29.2	30.7	30.1	31.6	28.7	29.4	29.95	1.07	0.025	0.042	356	9.5
YDR114C	YDR114C	1	0.6	0.5	0.4	0.4	0.5	0.57	0.23	0.378	0.433	NA	3
YDR115W	YDR115W	86.6	82.5	85.4	92.1	96.7	89.7	88.83	5.1	0.025	0.082	324	41
YDR116C	MRPL1	55.1	56.9	49.1	55.4	55.3	56.3	54.68	2.82	0.076	0.006	575	35.5
YDR117C	TMA64	47.5	50.9	48.9	47.4	46.2	54.6	49.25	3.07	0.035	0.118	742	16
YDR118W	APC4	18.6	16.4	14.2	15.6	15.3	17	16.18	1.52	0.134	0.120	272	NA
YDR118W-A	YDR118W-A	0.8	1.9	0.6	1.2	1	1.8	1.22	0.53	0.636	0.200	NA	NA
YDR119W	YDR119W	106.4	105	99.2	114.9	112	110.1	107.93	5.6	0.037	0.050	2060	35
YDR119W-A	YDR119W-A	25.2	26.7	25.2	23.7	23.6	24.7	24.85	1.15	0.034	0.077	NA	11
YDR120C	TRM1	98.6	101.5	104.8	117.7	111.3	113.2	107.85	7.39	0.031	0.173	1090	27
YDR121W	DPB4	70.8	70.3	67.9	74.2	75	77.1	72.55	3.44	0.022	0.036	857	21
YDR122W	KIN1	56.1	52.6	53.8	54.3	53.5	53.4	53.95	1.19	0.033	0.018	561	25
YDR123C	INO2	13.3	13.2	14	13.9	12.6	13.5	13.42	0.51	0.032	0.022	132	4.5
YDR124W	YDR124W	9.4	10.9	10.2	10	9.5	9.8	9.97	0.55	0.074	0.130	66	6.5
YDR125C	ECM18	10.8	10.4	11	12.3	11.1	13.6	11.53	1.2	0.028	0.068	165	7
YDR126W	SWF1	24.8	23.6	28	25.2	23.7	22.7	24.67	1.86	0.089	0.039	215	3.5
YDR127W	ARO1	209.7	214.1	218.6	221.5	221.3	233.6	219.8	8.14	0.021	0.038	4973	41
YDR128W	YDR128W	46.8	49.5	47	50.6	47.8	46	47.95	1.76	0.031	0.048	622	15
YDR130C	FIN1	15.4	16.8	16.2	15.8	15.1	17.2	16.08	0.81	0.044	0.051	106	11.5
YDR131C	YDR131C	15.7	17.6	17.9	14.9	15.4	18	16.58	1.4	0.070	0.060	306	12.5
YDR132C	YDR132C	19.1	21	18.5	21	19.8	20.9	20.05	1.09	0.067	0.050	424	10
YDR133C	YDR133C	584.5	577.5	571.6	535.3	556	550.8	562.62	18.5	0.011	0.044	NA	414.5
YDR134C	YDR134C	253.5	268.2	285.5	285.2	269.4	277.2	273.17	12.16	0.060	0.162	NA	NA
YDR135C	YCF1	101.3	100.2	101.3	97.3	98.8	103.6	100.42	2.19	0.006	0.036	1933	90.5
YDR136C	VPS61	1.7	1.7	2.7	1.9	3.3	3.1	2.4	0.72	0.284	0.205	NA	1
YDR137W	RGP1	35.7	36.4	38.3	34.2	35.8	35.1	35.92	1.38	0.037	0.094	770	50.5
YDR138W	HPR1	31	29.1	29.6	29.3	26.9	32.5	29.73	1.89	0.033	0.030	203	14.5
YDR140W	MTQ2	47.8	48.7	47.9	48.6	44	48.8	47.63	1.83	0.010	0.019	429	NA
YDR141C	DOP1	50.3	52	56.5	52.9	51.6	53	52.72	2.1	0.061	0.029	779	NA
YDR142C	PEX7	23.9	26.5	25	26.5	24.9	25.7	25.42	1.02	0.052	0.055	401	9
YDR143C	SAN1	79.8	72.5	79.2	75.5	71.4	79.4	76.3	3.72	0.053	0.070	918	4.5
YDR144C	MKC7	63.6	66.5	64.4	68.8	69.2	68.8	66.88	2.44	0.023	0.060	1110	10
YDR145W	TAF12	76.9	68.8	72.5	78.7	76.2	74.1	74.53	3.55	0.056	0.017	686	23.5
YDR146C	SWI5	31.9	32.7	33.9	37.9	34.2	33.6	34.03	2.07	0.031	0.086	294	10
YDR147W	EKI1	31.3	32.5	32.7	30.3	31.8	29.3	31.32	1.32	0.024	0.094	378	18
YDR148C	KGD2	134.9	137.5	139.3	140.5	143.7	137.9	138.97	2.99	0.016	0.055	1219	69.5
YDR149C	YDR149C	0	0	0	0	0	0	0	0	N/A	N/A	NA	NA
YDR150W	NUM1	80.5	81.1	81.2	72.9	84.1	77.9	79.62	3.84	0.005	0.055	1163	26.5
YDR151C	CTH1	78.5	72.4	82.4	77.2	77.7	76.4	77.43	3.24	0.065	0.019	785	101
YDR152W	GIR2	155.3	159.5	154.7	160	151.7	156.1	156.22	3.12	0.017	0.056	1170	34.5
YDR153C	ENT5	82.6	89.1	87.7	88.7	88.1	92.5	88.12	3.2	0.040	0.036	1651	15
YDR154C	YDR154C	67.5	72.4	68.2	75.3	86.5	80.3	75.03	7.34	0.038	0.060	NA	4895
YDR155C	CPR1	2904.7	2924.1	2915.9	2809.4	2839.8	2759.8	2858.95	66.68	0.003	0.041	5748	NA
YDR156W	RPA14	148.2	152.4	150.4	164.7	159.7	150.5	154.32	6.45	0.014	0.086	806	NA
YDR157W	YDR157W	11	8.5	13.1	18.2	16.9	15.9	13.93	3.73	0.212	0.247	NA	NA
YDR158W	HOM2	847	859.9	851	814.7	823.8	817.5	835.65	19.29	0.008	0.068	7503	238.5
YDR159W	SAC3	48.6	48	46.3	49.9	56.3	53.9	50.5	3.82	0.025	0.105	828	21.5
YDR160W	SSY1	37.5	41	37.4	40.2	37.5	38.3	38.65	1.57	0.053	0.074	354	7.5
YDR161W	YDR161W	67.4	69.4	65.8	73.5	67.7	70.9	69.12	2.77	0.027	0.044	874	44.5
YDR162C	NBP2	62.8	65	61	67.4	59.1	62.2	62.92	2.94	0.032	0.048	362	32
YDR163W	CWC15	38.6	39.4	37	40	36	36.3	37.88	1.68	0.032	0.126	375	NA
YDR164C	SEC1	55.3	52.2	49.4	52.8	50.3	54.4	52.4	2.28	0.056	0.048	680	NA
YDR165W	TRM82	86.8	87.5	84.8	86.1	91.3	90	87.75	2.45	0.016	0.029	1809	40
YDR166C	SEC5	35.7	37	37.3	38.1	38.8	39.7	37.77	1.41	0.023	0.111	377	7
YDR167W	TAF10	83.1	77.3	75.9	76.7	70.5	79	77.08	4.12	0.048	0.074	905	30
YDR168W	CDC37	127.7	128.3	121	130.8	122.8	127.5	126.35	3.69	0.032	0.029	1070	69
YDR169C	STB3	31.4	29.3	33.2	35	35.2	33.1	32.87	2.24	0.062	0.129	810	11.5
YDR169C-A	YDR169C-A	0.4	0.4	0.5	0.4	0.4	0.3	0.4	0.06	0.133	0.133	25	1
YDR170C	SEC7	134.5	138.2	135	136.9	138.7	130.1	135.57	3.16	0.015	0.075	2024	68
YDR170W-A	YDR170W-A	6.4	7.8	6.3	6.7	6.6	7.6	6.9	0.64	0.123	0.098	NA	NA
YDR171W	HSP42	70.7	65.5	75.1	66.6	66.8	69.8	69.08	3.57	0.068	0.032	754	266.5
YDR172W	SUP35	240.9	241	234.6	225	220.8	228.8	231.85	8.38	0.015	0.040	3297	61
YDR173C	ARG82	35.8	34.9	33.9	31.9	39.3	35.5	35.22	2.45	0.027	0.075	154	9
YDR174W	HMO1	407.5	413.3	411.3	420.8	412.1	419.7	414.12	5.14	0.007	0.099	1972	238
YDR175C	RSM24	59.2	58.4	65.7	60.6	60.1	60.4	60.73	2.57	0.066	0.046	659	36.5
YDR176W	NGG1	53.5	52	49.5	49.9	50.7	49.7	50.88	1.58	0.039	0.082	1101	19
YDR177W	UBC1	213.7	207.5	209.9	216.8	207.7	213	211.43	3.69	0.015	0.045	2037	218.5
YDR178W	SDH4	141	139.7	138.6	144	151	146.4	143.45	4.68	0.009	0.046	1182	122.5
YDR179C	CSN9	40.7	39.9	38.2	40.3	38.3	39.1	39.42	1.05	0.032	0.133	73	18
YDR179W-A	YDR179W-A	24	25.8	25.3	23.9	24.4	26.4	24.97	1.03	0.037	0.006	645	11
YDR180W	SCC2	34.3	35.1	36.4	32.8	33	34.5	34.35	1.34	0.030	0.041	704	31.5
YDR181C	SAS4	24.4	26	23.4	23.2	25	24.9	24.48	1.06	0.053	0.028	492	17
YDR182W	CDC1	84.5	85.4	90.7	86.1	87.3	84.2	86.37	2.4	0.039	0.039	1018	NA
YDR182W-A	YDR182W-A	3.6	3	4.8	3.1	3.9	3.7	3.68	0.65	0.241	0.190	192	NA
YDR183C-A	YDR183C-A	16.4	13.9	17.7	15.6	17.4	17	16.33	1.41	0.121	0.031	NA	19
YDR183W	PLP1	36.3	36.1	34.3	39.6	33.8	38.4	36.42	2.26	0.031	0.045	492	21.5
YDR184C	ATC1	69.1	68.8	66.5	63	66.6	62.1	66.02	2.91	0.021	0.047	1125	NA
YDR185C	YDR185C	18.3	17.4	18	17.1	15.7	17.2	17.28	0.91	0.026	0.041	159	19
YDR186C	YDR186C	104	98.7	103.3	97	98.8	97.3	99.85	3.04	0.028	0.036	1338	16
YDR187C	YDR187C	0.1	0.3	0.1	0.2	0.1	0.3	0.18	0.1	0.693	0.655	NA	1
YDR188W	CCT6	267.2	271.1	265.2	259.2	250.9	263.8	262.9	7.06	0.011	0.018	2990	83
YDR189W	SLY1	81	81	81.7	85.3	80.6	85.1	82.45	2.16	0.005	0.036	1415	30
YDR190C	RVB1	168.4	168.8	162.7	163.1	155.2	166.8	164.17	5.1	0.020	0.036	2341	149
YDR191W	HST4	21.8	19.3	20.3	20.1	18.1	19.4	19.83	1.24	0.061	0.042	424	6
YDR192C	NUP42	24.3	26.6	23.5	24.8	23.1	25.4	24.62	1.28	0.065	0.076	227	9.5
YDR193W	YDR193W	0.2	0.1	0.1	0.1	0.1	0	0.1	0.06	0.433	1.000	NA	NA
YDR194C	MSS116	162.6	162.3	156.4	161.7	152.1	159.1	159.03	4.14	0.022	0.048	2624	64.5
YDR194W-A	YDR194W-A	0.2	0.3	0.5	0.2	0.2	0.1	0.25	0.14	0.458	0.247	12	1
YDR195W	REF2	60.2	60	63.3	67.9	64.1	67.5	63.83	3.41	0.030	0.061	817	NA
YDR196C	YDR196C	73.4	73.8	76.6	73.9	73.1	74.2	74.17	1.25	0.023	0.055	799	NA
YDR197W	CBS2	31.4	30.9	30.1	30.6	32.4	30.3	30.95	0.85	0.021	0.018	300	13.5
