#Supplemental Table 3: Protein identification using 15 cm columns, 3 µm C18 beads and 140 min gradients.
#Protein IDs	Gene name	Uniprot	Peptides	Razor Peptides	Unique Peptides	Sequence Coverage [%]	Mol. Weight [kDa]	PEP	Intensity Exp1	Intensity Exp2	Intensity Exp3
orf	protein.name	gene.name	uniprot	peptides	razor.peptides	unique.peptides	sequence.coverage	mw	pep	intensity.exp1	intensity.exp2	intensity.exp3
YDR358W	ADP-ribosylation factor-binding protein GGA1;Golgi-localized, gamma ear-containing, ARF-binding protein 1	D9476.2;GGA1;YDR358W	Q06336	3	3	3	8.4	62.3	1.0556E-13	91423	51422	38855
YDR354W	Anthranilate phosphoribosyltransferase	D9476.4;TRP4;YDR354W	P07285	1	1	1	3.7	41.4	0.0020009	135680	93468	0
YDR353W;YHR106W	Thioredoxin reductase;Thioredoxin reductase 1;Thioredoxin reductase 2, mitochondrial	D9476.5;TRR1;TRR2;YDR353W;YHR106W	D3DL56;P29509;P38816	11	11	11	55.8	34.2	1.7499E-85	13334000	5937100	5300200
YDR365W-A;YER137C-A;YLR157C-A;YPL257W-A;YGR027W-A;YJR026W;YLR227W-A;YLR256W-A;YML040W;YPR158C-C;YJR028W;YNL054W-A	Capsid protein;Gag-p4;Gag-p45;Gag-p49;p54;p58;Retrotransposon TYA Gag gene co-transcribed with TYB Pol; translated as TYA or TYA-TYB polyprotein; Gag is a nucleocapsid protein that is the structural constituent of virus-like particles (VLPs); similar to retroviral Gag;Retrotransposon TYA transposon protein;Transposon Ty1 protein A;Transposon Ty1-DR6/Ty1-ER1/Ty1-LR2/Ty1-PL Gag polyprotein;Transposon Ty1-GR1 Gag polyprotein;Transposon Ty1-JR1/Ty1-LR3/Ty1-ML2 Gag polyprotein;Transposon Ty1-JR2 Gag polyprotein;Transposon Ty1-LR4 Gag polyprotein;Transposon Ty1-NL2 Gag polyprotein;Transposon Ty1-PR3 Gag polyprotein	D9481.12;G4052;J1555;J1565;L8083.11;L9632.7;L9672.1;N2447;P0725;P9584.3;TY1A-DR6;TY1A-ER1;TY1A-GR1;TY1A-JR1;TY1A-JR2;TY1A-LR2;TY1A-LR3;TY1A-LR4;TY1A-ML2;TY1A-NL2;TY1A-PL;TY1A-PR3;YDR365W-A;YDRWTy1-5 GAG;YER137C-A;YER138C-A;YERCTy1-1 GAG;YGR027W-A;YGRWTy1-1 GAG;YJR026W;YJR028W;YJRWTy1-1 GAG;YJRWTy1-2 GAG;YLR157C-A;YLR227W-A;YLR256W-A;YLRCTy1-2 GAG;YLRWTy1-3 GAG;YLRWTy1-4 GAG;YM8054.03;YML040W;YMLWTy1-2 GAG;YNL054W-A;YNLWTy1-2 GAG;YPL257W-A;YPLWTy1-1 GAG;YPR158C-C;YPRCTy1-4 GAG	D2XNA6;P0C2I8;P47097;P47099;Q07115;Q12085;Q12162;Q12470;Q66R50;Q6Q5H1	15	1	0	50.7	49.0	5.7014E-207	441860	0	247270
YDR365W-B;YER138C;YLR157C-B;YPL257W-B;YPR137C-B;YJR027W;YLR227W-B;YML039W;YPR158C-D;YDR261C-D;YGR027W-B;YJR029W;YNL054W-B;YAR010C;YDR261C-C;YPR137C-A	Capsid protein;Gag-p4;Gag-p45;Gag-p49;Gag-Pol-p199;Integrase;p190;p23;p54;p58;p60;p84;p90;Pol-p20;Pol-p63;Pol-p71;Putative uncharacterized protein;Reverse transcriptase/ribonuclease H;Transposon Ty1 protein A;Transposon Ty1 TYA-TYB polyprotein;Transposon Ty1-A/Ty1-PR1 Gag polyprotein;Transposon Ty1-DR4 Gag polyprotein;Transposon Ty1-DR4 Gag-Pol polyprotein;Transposon Ty1-DR6 Gag-Pol polyprotein;Transposon Ty1-ER1 Gag-Pol polyprotein;Transposon Ty1-GR1 Gag-Pol polyprotein;Transposon Ty1-JR1 Gag-Pol polyprotein;Transposon Ty1-JR2 Gag-Pol polyprotein;Transposon Ty1-LR2 Gag-Pol polyprotein;Transposon Ty1-LR3 Gag-Pol polyprotein;Transposon Ty1-ML2 Gag-Pol polyprotein;Transposon Ty1-NL2 Gag-Pol polyprotein;Transposon Ty1-PL Gag-Pol polyprotein;Transposon Ty1-PR1 Gag-Pol polyprotein;Transposon Ty1-PR3 Gag-Pol polyprotein;Ty1 protease;TY1A-TY1B	D9481.12;G4054;GAG;J1560;J1570;L8083.11;L9632.7;N2453;P0729;P9584.3;P9659.6c;P9659.6d;POL;truncated TYB;TY1A;TY1A-A;TY1A-DR4;TY1A-PR1;TY1B;TY1B-A;TY1B-DR4;TY1B-DR6;TY1B-ER1;TY1B-GR1;TY1B-JR1;TY1B-JR2;TY1B-LR2;TY1B-LR3;TY1B-LR4;TY1B-ML2;TY1B-NL2;TY1B-PL;TY1B-PR1;TY1B-PR3;TYA1;TYB1;YAR009C;YAR010C;YARCTy1-1 GAG;YARCTy1-1 POL;YDR261C-C;YDR261C-D;YDR365W-B;YDRCTy1-3 GAG;YDRCTy1-3 POL;YDRWTy1-5 POL;YER138C;YERCTy1-1 POL;YGR027W-B;YGRWTy1-1 POL;YJR027W;YJR029W;YJRWTy1-1 POL;YJRWTy1-2 POL;YLR157C-B;YLR227W-B;YLR256W-B/YLR256W-C;YLRCTy1-2 POL;YLRWTy1-3 POL;YLRWTy1-4 POL;YM8054.04;YML039W;YMLWTy1-2 POL;YNL054W-B;YNLWTy1-2 POL;YPL257W-B;YPLWTy1-1 POL;YPR137C-A;YPR137C-B;YPR158C-D;YPRCTy1-2 GAG;YPRCTy1-2 POL;YPRCTy1-4 POL	D3DM43;O13528;O74302;P0C2I3;P0C2I5;P0C2I6;P0C2I9;P0C2J1;P47098;P47100;P87194;P87195;Q03434;Q03612;Q07793;Q12141;Q12414;Q99337	18	18	0	14.6	198.7	6.3043E-215	60655000	80407000	66537000
YDR378C	U6 snRNA-associated Sm-like protein LSm6	D9481.18;LSM6;YDR378C	Q06406	1	1	1	20.9	9.4	0.00020721	0	49366	0
YDR381W	RNA annealing protein YRA1	D9481.2;D9509.1;YDR381W;YRA1	Q12159	3	3	3	12.4	25.0	1.1506E-16	1743000	3915900	1955400
YDR368W	Putative reductase 1	D9481.8;YDR368W;YPR1	Q12458	5	4	4	19.6	34.8	9.5452E-30	262690	694060	883340
YDR394W	26S protease regulatory subunit 6B homolog;Protein YNT1;Tat-binding homolog 2	D9509.14;RPT3;YDR394W;YNT1;YTA2	P33298	2	1	1	5.6	47.9	1.0761E-08	165750	274870	0
YDR388W	Reduced viability upon starvation protein 167	D9509.8;RVS167;YDR388W	P39743	2	2	2	6.2	52.8	8.9776E-08	0	50362	151410
YDR341C	Arginine--tRNA ligase;Arginyl-tRNA synthetase, cytoplasmic	D9651.10;YDR341C	Q05506	16	16	16	30.3	69.5	1.3521E-175	5556400	2779700	4194400
YDR342C;YDR343C	High-affinity hexose transporter HXT6	D9651.11;D9651.12;HXT6;HXT7;YDR342C;YDR343C	P39003;P39004	4	4	4	9.3	62.7	1.7077E-77	4598700	3021400	3174400
YDR345C	Low-affinity glucose transporter HXT3	D9651.14;HXT3;YDR345C	P32466	1	1	1	3.7	62.6	0.00013916	257300	471800	336420
YDR510W	Ubiquitin-like protein SMT3	D9719.15;SMT3;YDR510W	Q12306	1	1	1	10.9	11.6	4.1946E-24	1024700	0	836290
YDR513W	Glutaredoxin-2, mitochondrial;Glutathione-dependent oxidoreductase 2;Thioltransferase	D9719.17;GRX2;TTR;TTR1;YDR513W	P17695;Q6B234	5	5	5	40.6	15.9	0	1028500	2666600	315900
YDR496C	Pumilio homology domain family member 6	D9719.2;PUF6;YDR496C	Q04373	3	3	3	4.6	75.1	0.00001558	213620	0	37111
YDR516C	Early meiotic induction protein 2;Glucose kinase 2;Putative glucokinase-2	D9719.21;EMI2;YDR516C	Q04409	3	2	2	6.6	55.9	0.00003021	0	550550	105100
YDR518W	Endoplasmic reticulum protein EUG1;Protein disulfide-isomerase EUG1	D9719.23;EUG1;YDR518W	P32474	3	3	3	8.1	59.0	8.8113E-39	790260	972870	787570
YDR533C	Heat shock protein 31;Probable chaperone protein HSP31	D9719.36;HSP31;YDR533C	Q04432	6	6	6	34.6	25.7	6.3219E-69	687960	804470	1046800
YDR502C	Methionine adenosyltransferase 2;S-adenosylmethionine synthase 2	D9719.8;ETH2;SAM2;YDR502C	P19358	12	12	7	44.5	42.3	9.6083E-215	14300000	12044000	10099000
YPR158W-B;YDR316W-B;YHR214C-B;YBR012W-B;YER160C;YGR161C-D;YMR050C;YOR142W-B;YDR098C-B;YGR038C-B;YML045W;YDR210C-D;YHR214C-C;YBR012W-A;YDR316W-A;YER159C-A;YGR161C-C;YMR051C;YOR142W-A;YPR158W-A;YAR009C;YLR035C-A	Capsid protein;Gag-p4;Gag-p45;Gag-p49;Gag-Pol-p199;Integrase;p190;p23;p54;p58;p60;p84;p90;Pol-p20;Pol-p63;Pol-p71;Putative uncharacterized protein;Retrotransposon TYA Gag gene co-transcribed with TYB Pol; translated as TYA or TYA-TYB polyprotein; Gag is a nucleocapsid protein that is the structural constituent of virus-like particles (VLPs); similar to retroviral Gag;Reverse transcriptase/ribonuclease H;Transposon Ty1 protein A;Transposon Ty1 TYA-TYB polyprotein;Transposon Ty1-A Gag-Pol polyprotein;Transposon Ty1-BR Gag polyprotein;Transposon Ty1-BR Gag-Pol polyprotein;Transposon Ty1-DR1 Gag-Pol polyprotein;Transposon Ty1-DR3 Gag-Pol polyprotein;Transposon Ty1-DR5 Gag-Pol polyprotein;Transposon Ty1-DR5/Ty1-ER2/Ty1-GR3/Ty1-LR1/Ty1-MR2 Gag polyprotein;Transposon Ty1-ER2 Gag-Pol polyprotein;Transposon Ty1-GR2 Gag-Pol polyprotein;Transposon Ty1-GR3 Gag-Pol polyprotein;Transposon Ty1-H Gag polyprotein;Transposon Ty1-H Gag-Pol polyprotein;Transposon Ty1-LR1 Gag-Pol polyprotein;Transposon Ty1-ML1 Gag-Pol polyprotein;Transposon Ty1-MR2 Gag-Pol polyprotein;Transposon Ty1-OR Gag-Pol polyprotein;Transposon Ty1-OR/Ty1-PR2 Gag polyprotein;Transposon Ty1-PR2 Gag-Pol polyprotein;Ty1 protease;TY1A-TY1B;Uncharacterized protein YAR009C	D9740.1;D9740.1a;G4126;G7025;G7028;L1807;L1823;N2453;O3364;O3367;P9584.3;P9584.3c;P9659.6c;TY1A-BR;TY1A-DR5;TY1A-ER2;TY1A-GR3;TY1A-H;TY1A-LR1;TY1A-MR2;TY1A-OR;TY1A-PR2;TY1B-A;TY1B-BR;TY1B-DR1;TY1B-DR3;TY1B-DR5;TY1B-ER2;TY1B-GR2;TY1B-GR3;TY1B-H;TY1B-LR1;TY1B-ML1;TY1B-MR2;TY1B-NL2;TY1B-OR;TY1B-PR1;TY1B-PR2;YAR009C;YARCTy1-1 POL;YBR012W-A;YBR012W-B;YBR0206;YBR0207;YBRWTy1-2 GAG;YBRWTy1-2 POL;YD8142B.01;YD8557.06c;YDR098C-B;YDR210C-D;YDR316W-A;YDR316W-B;YDRCTy1-1 POL;YDRCTy1-2 POL;YDRWTy1-4 GAG;YDRWTy1-4 POL;YER159C-A;YER160C;YER160C-A;YERCTy1-2 GAG;YERCTy1-2 POL;YGR038C-B;YGR161C-C;YGR161C-D;YGRCTy1-2 POL;YGRCTy1-3 GAG;YGRCTy1-3 POL;YHR214C-A;YHR214C-B;YHR214C-C;YHRCTy1-1 GAG;YHRCTy1-1 POL;YLR035C-A;YLR035C-B;YLRCTy1-1 GAG;YLRCTy1-1 POL;YM9796.03C;YM9796.04C;YM9827.08;YML045W;YMLWTy1-1 POL;YMR050C;YMR051C;YMRCTy1-4 GAG;YMRCTy1-4 POL;YNL054W-B;YNLWTy1-2 POL;YOR142W-A;YOR142W-B;YOR3367W;YORWTy1-2 GAG;YORWTy1-2 POL;YPR137C-B;YPR158W-A;YPR158W-B;YPRCTy1-2 POL;YPRWTy1-3 GAG;YPRWTy1-3 POL	A5JYZ4;D3DLG6;D3DLG7;D3DM67;D3DM68;O13527;O13535;P0C2I2;P0C2I4;P0C2J0;Q03619;Q03855;Q04670;Q04711;Q12088;Q12193;Q12217;Q12231;Q12269;Q12316;Q92393;Q99209;Q99231	17	1	0	14.3	198.6	3.8628E-196	878040	597840	360150
YDR300C	Gamma-glutamyl kinase;Glutamate 5-kinase	D9740.12;PRO1;YDR300C	P32264	1	1	1	4.2	47.2	0.0011476	72060	0	0
YDR322W	54S ribosomal protein L35, mitochondrial;YmL35	D9798.5;MRPL35;YDR322W	Q06678	1	1	1	3	42.8	0.013574	0	29763	0
YDR272W	Glyoxalase II;Hydroxyacylglutathione hydrolase, cytoplasmic isozyme	D9954.5;GLO2;YDR272W	Q05584	2	2	2	7.3	31.3	3.0745E-11	237160	262280	161240
YML070W	Dihydroxyacetone kinase 1;Glycerone kinase 1	DAK1;YML070W	P54838	14	14	14	37	62.2	1.6864E-94	2393700	2187000	2109100
YPL170W	Damage response protein 1	DAP1;P2515;YPL170W	Q12091	2	2	2	15.1	16.8	0.00026695	0	70284	202190
YHR028C	Dap2p;Dipeptidyl aminopeptidase B;YSCV	DAP2;YHR028C	D3DKX5;P18962	1	1	1	1.8	93.4	0.00057477	40199	0	28024
YLR421C	26S proteasome regulatory subunit RPN13;Proteasome non-ATPase subunit 13	DAQ1;RPN13;YLR421C	O13563	1	1	1	8.3	17.9	0.00024861	193300	0	0
YNL112W	ATP-dependent RNA helicase DBP2;DEAD box protein 2;p68-like protein	DBP2;N1945;YNL112W	P24783;Q05456	3	3	3	8.4	61.0	4.7168E-40	1092700	106790	524740
YGL078C	ATP-dependent RNA helicase DBP3;DEAD box protein 3;Helicase CA3	DBP3;YGL078C	P20447	5	5	5	11.5	58.8	3.1378E-19	378740	567900	305130
YOR046C	ATP-dependent RNA helicase DBP5;DEAD box protein 5;Helicase CA5/6;Ribonucleic acid-trafficking protein 8	DBP5;RAT8;YOR046C	P20449	5	5	5	13.9	53.9	8.3873E-41	910770	396550	321700
YLR276C	ATP-dependent RNA helicase DBP9;DEAD box protein 9	DBP9;L9328.3;YLR276C	Q06218;Q66R46	2	2	2	2.9	68.1	0.0003725	45342	72011	679390
YNL118C	mRNA-decapping enzyme subunit 2;Protein PSU1	DCP2;N1917;PSU1;SCY_4676;YNL118C	B0KZS6;B0KZU4;B0KZW2;B0KZY0;B0KZY9;B0KZZ8;B0L007;P53550;Q6LCS6	1	1	1	0.7	108.7	0.00056228	42092	17798	0
YLR270W	DCS-1;Hint-related 7meGMP-directed hydrolase 1;Scavenger mRNA-decapping enzyme DcpS	DCS1;YLR270W	Q06151;Q6Q5L1	6	6	6	20.9	40.8	5.7722E-90	1804200	1702800	1196800
YOR173W	Histidine triad protein;Protein DCS2	DCS2;O3625;YOR173W	Q12123	2	2	2	6.8	40.9	5.2032E-09	588730	114030	0
YMR173W	DNA damage-responsive protein 48;Flocculent-specific protein;Stress protein DDR48;YP 75	DDR48;FSP;YM8010.03;YMR173W	P18899	3	3	3	19.8	46.2	3.0628E-35	87289	322880	5741200
YOL076W	Dislikes extra CIN8 protein 1;Mitochondrial distribution and morphology protein 20;N-terminal acetyltransferase B complex subunit MDM20	DEC1;MDM20;YOL076W	Q12387	1	1	1	2.1	92.8	3.3226E-09	0	47236	48879
YOR204W	ATP-dependent RNA helicase DED1;DEAD box protein 1	DED1;SPP81;YOR204W	P06634	7	7	7	18.2	65.6	1.3899E-111	6868600	4323400	5005100
YHR019C	Asparagine--tRNA ligase;Asparaginyl-tRNA synthetase, cytoplasmic;Cytosolic asparaginyl-tRNA synthetase, required for protein synthesis, catalyzes the specific attachment of asparagine to its cognate tRNA	DED81;YHR019C	D3DKW4;P38707	10	10	10	22.2	62.2	4.9612E-255	27191000	5669600	4844600
YDL160C	ATP-dependent RNA helicase DHH1;DExD/H-box helicase 1	DHH1;YDL160C	P39517	4	4	4	8.9	57.5	5.7986E-16	560940	214560	125830
YFL018C	Dihydrolipoamide dehydrogenase;Dihydrolipoyl dehydrogenase, mitochondrial;Glycine decarboxylase complex subunit L;Lipoamide dehydrogenase component of pyruvate dehydrogenase complex;Pyruvate dehydrogenase complex E3 component	DHLP1;LPD1;YFL018C	P09624	11	11	11	28.7	54.0	5.7733E-76	3555800	3549800	3338700
YMR128W	DEAH box RNA helicase DHR1;Extracellular mutant protein 16;Probable ATP-dependent RNA helicase DHR1	DHR1;ECM16;YM9553.04;YMR128W	Q04217	1	1	1	1.1	145.0	0.00067018	0	979780	992710
YLR025W	DOA4-independent degradation protein 1;Vacuolar protein-sorting-associated protein 32;Vacuolar-sorting protein SNF7	DID1;SNF7;VPS32;YLR025W	P39929	3	3	3	12.1	27.0	1.2876E-08	0	213800	230950
YLR129W	DOM34-interacting protein 2;U three protein 12;U3 small nucleolar RNA-associated protein 12	DIP2;L3116;L9233.1;UTP12;YLR129W	Q05386;Q12220	3	3	3	3.5	106.3	8.7875E-06	39044	23517	0
YOL021C	Chromosome disjunction protein 3;Exosome complex exonuclease DIS3;Ribosomal RNA-processing protein 44	DIS3;O2197;RRP44;YOL021C	Q08162	2	2	2	3.2	113.7	3.4223E-07	0	2060400	215550
YLR178C	Carboxypeptidase Y inhibitor;I(C);Ic;Protein DKA1;Protein NSP1;Protein TFS1	DKA1;L9470.19;NSP1;TFS1;YLR178C	P14306;P30312	7	7	7	42.5	24.4	2.0023E-83	2718800	1496500	1109100
YEL071W	D-lactate dehydrogenase [cytochrome] 3;D-lactate ferricytochrome C oxidoreductase;Putative uncharacterized protein	DLD3;YEL071W	D3DLI0;P39976	12	12	11	29.8	55.2	1.1131E-131	5829100	5217400	2565000
YPR103W	Macropain subunit PRE2;Multicatalytic endopeptidase complex subunit PRE2;Proteasome component PRE2;Proteinase YSCE subunit PRE2	DOA3;P8283.10;PRE2;PRG1;YPR103W	P30656	2	2	2	8	31.6	1.2011E-17	365260	466730	0
YGR253C	Macropain subunit PUP2;Multicatalytic endopeptidase complex subunit PUP2;Proteasome component PUP2;Proteinase YSCE subunit PUP2	DOA5;G9155;PUP2;YGR253C	P32379	4	4	4	18.1	28.6	3.9859E-53	619580	1519600	991040
YJL050W	ATP-dependent RNA helicase DOB1;mRNA transport regulator MTR4	DOB1;J1158;MTR4;YJL050W	P47047	2	2	2	2.6	122.1	1.4617E-26	33878	50435	67241
YHR043C;YHR044C	2-deoxyglucose-6-phosphate phosphatase 1;2-deoxyglucose-6-phosphate phosphatase 2;2-deoxyglucose-6-phosphate phosphatase, member of a family of low molecular weight phosphatases, similar to Dog1p, induced by oxidative and osmotic stress, confers 2-deoxyglucose resistance when overexpressed;2-deoxyglucose-6-phosphate phosphatase, similar to Dog2p, member of a family of low molecular weight phosphatases; confers 2-deoxyglucose resistance when overexpressed, in vivo substrate has not yet been identified	DOG1;DOG2;YHR043C;YHR044C	D3DKZ1;D3DKZ2;P38773;P38774;P38923	3	3	3	11.4	27.2	1.9001E-09	72810	247120	37606
YNL186W	Deubiquitinating enzyme 10;Disrupter of telomere silencing protein 4;Ubiquitin carboxyl-terminal hydrolase 10;Ubiquitin thioesterase 10;Ubiquitin-specific-processing protease 10	DOT4;N1619;UBP10;YNL186W	P53874	1	1	1	1.1	88.5	0.013411	39754	0	0
YPR183W	Dolichol-phosphate mannose synthase;Dolichol-phosphate mannosyltransferase;Dolichyl-phosphate beta-D-mannosyltransferase;Mannose-P-dolichol synthase	DPM1;P9705.3;SED3;YPR183W	P14020	2	2	2	8.2	30.4	9.0935E-12	369960	495790	198510
YKR071C	Anamorsin homolog;Fe-S cluster assembly protein DRE2	DRE2;YKR071C	P36152	1	1	1	2.6	38.5	7.1161E-06	51525	0	0
YNR067C	Daughter specific expression protein 4;Endo-1,3(4)-beta-glucanase 1;Laminarinase-1	DSE4;ENG1;N3547;YNR067C	P53753	1	1	1	1.5	121.1	2.6748E-36	0	79317	65958
YDR363W-A	26S proteasome complex subunit SEM1	DSH1;SEM1;YDR363W-A	O94742	1	1	1	25.8	10.4	2.5247E-06	0	0	192010
YMR276W	Ubiquitin domain-containing protein DSK2	DSK2;SHE4;YM8021.02;YMR276W	P48510	3	3	3	11.5	39.3	0.000052347	630700	1000800	916140
YGL043W	DNA strand transfer protein alpha;DNA strand transferase 1;Pyrimidine pathway regulatory protein 2;Transcription elongation factor S-II	DST1;PPR2;YGL043W	P07273;P24535	3	3	3	12.9	34.8	1.632E-08	0	339240	375570
YGL173C	5'-3' exoribonuclease 1;DNA strand transfer protein beta;KAR(-)-enhancing mutation protein;p175;Strand exchange protein 1	DST2;G1645;KEM1;RAR5;SEP1;SKI1;XRN1;YGL173C	P22147	7	7	7	6	175.5	3.0354E-19	472290	108010	91943
YFR044C	Cys-Gly metallodipeptidase DUG1;Deficient in utilization of glutathione protein 1;GSH degradosomal complex subunit DUG1	DUG1;YFR044C	P43616	11	11	11	32.4	52.9	7.5155E-162	4386400	3639300	2797500
YLR401C	tRNA-dihydrouridine synthase 3	DUS3;L8084.19;YLR401C	P39519;Q06053	2	2	2	2.7	76.6	0.0028952	101880	0	0
YHR068W	Deoxyhypusine synthase;Putative uncharacterized protein	DYS1;YHR068W	D3DL17;P38791	6	6	6	17.3	42.9	1.8922E-200	3549700	3575200	3244900
YKL204W	eIF4E-associated protein 1;Protein EAP1	EAP1;YKL204W	P36041	2	2	2	4.4	69.8	5.9507E-21	90211	245110	110690
YJR045C;YEL030W	Ecm10p;Endonuclease SceI 75 kDa subunit;Extracellular mutant protein 10;Heat shock protein SSC1, mitochondrial;Heat shock protein SSC3, mitochondrial;mtHSP70	ECM10;ENS1;J1639;SSC1;SSC3;YEL030W;YJR045C	D3DLL9;P12398;P39987	15	15	15	36.5	70.6	6.8053E-208	45811000	20936000	16800000
YJR137C	Extracellular mutant protein 17;Sulfite reductase [NADPH] subunit beta	ECM17;J2126;MET5;YJR137C	P47169	10	10	10	9.8	161.2	1.2178E-82	385830	1205100	1552500
YBR078W	Cell wall protein ECM33;Extracellular mutant protein 33	ECM33;YBR0727;YBR078W	P38248;P89498	3	3	3	6.6	48.2	9.2423E-57	5350600	6161200	3518700
YML048W	Extracellular mutant protein 6;Glucose-signaling factor 2	ECM6;EFF2;GSF2;YM9827.04;YML048W	Q04697	2	2	2	6.7	45.9	1.3106E-18	447210	333930	216700
YEL015W	Edc3p;Enhancer of mRNA-decapping protein 3	EDC3;LSM16;YEL015W	D3DLN5;P39998	1	1	1	2.5	61.3	1.6621E-10	39835	95328	66120
YAL003W	Elongation factor 1-beta;Eukaryotic elongation factor 1Balpha;Translation elongation factor 1B alpha	EFB1;TEF5;YAL003W	P32471	10	10	10	68.9	22.6	1.9735E-251	57684000	76437000	73479000
YLR249W;YNL014W	Elongation factor 3A;Elongation factor 3B;Eukaryotic elongation factor 3;Homolog of EF-3;Translation elongation factor 3A;Translation elongation factor 3B;Yeast elongation factor 3	EFC1;HEF3;L9672.5;N2846;TEF3;YEF3;YEF3A;YEF3B;YLR249W;YNL014W;ZRG7	O93815;P16521;P53978;Q06558	25	25	25	32.9	115.9	0	68724000	70214000	60642000
YKL081W	Elongation factor 1-gamma 2;Eukaryotic elongation factor 1Bgamma 2;Translation elongation factor 1B gamma 2	EFC1;TEF4;YKL081W	P36008	10	10	9	26.2	46.5	5.2908E-115	32583000	19286000	12327000
YDR385W;YOR133W	Elongation factor 2;Eukaryotic elongation factor 2;Ribosomal translocase;Translation elongation factor 2	EFT1;EFT2;O3317;YDR385W;YOR133W;YOR3317W	P32324;Q6JEF7	28	28	28	38.1	93.3	0	169700000	141330000	108560000
YPL037C	Beta-1-NAC;BTF3 homolog EGD1;GAL4 DNA-binding enhancer protein 1;Nascent polypeptide-associated complex subunit beta-1	EGD1;YPL037C	Q02107;Q02642	5	5	5	43.9	17.0	2.0008E-42	5453500	4099300	5108200
YHR193C	Alpha subunit of the heteromeric nascent polypeptide-associated complex (NAC) involved in protein sorting and translocation, associated with cytoplasmic ribosomes;Alpha-NAC;GAL4 DNA-binding enhancer protein 2;Nascent polypeptide-associated complex subunit alpha	EGD2;YHR193C	D3DLE1;P38879	4	4	4	37.9	18.7	2.759E-134	23187000	12481000	10667000
YKL193C	Protein phosphatase 1 regulatory subunit SDS22	EGP1;SDS22;YKL193C	P36047	3	3	3	8.3	38.9	1.6844E-16	149590	173490	168820
YCR034W	Elongation of fatty acids protein 2;Protein GNS1;v-SNARE bypass mutant gene 2 protein	ELO2;FEN1;GNS1;VBM2;YCR034W;YCR34W;YCR521	P25358	1	1	1	2.9	40.0	0.00014604	0	0	148440
YLR384C	Elongator complex protein 1;Gamma-toxin target 1;Protein IKI3	ELP1;IKI3;L3502.7;TOT1;YLR384C	O00036;Q06706	2	2	2	1.6	153.0	2.4038E-18	203600	102620	112280
YGR200C	Elongator complex protein 2;Gamma-toxin target 2	ELP2;G7725;TOT2;YGR200C	P42935	3	3	3	3.2	89.4	0.00056917	460320	1455400	0
YGL231C	ER membrane protein complex subunit 4	EMC4;YGL231C	P53073	1	1	1	5.3	21.5	0.000038992	0	53047	67375
YLR186W	Essential for mitotic growth 1;Nucleolar essential protein 1	EMG1;L9470.5;NEP1;YLR186W	Q06287	1	1	1	6.3	27.9	0.0077003	0	64280	59181
YFL048C	47 kDa endomembrane protein;Endosomal P44 protein;Protein EMP47	EMP47;YFL048C	P43555	2	2	2	4.5	50.3	4.463E-09	118910	202850	87610
YNL084C	Actin cytoskeleton-regulatory complex protein END3;Endocytosis protein 3	END3;N2307;YNL084C	P39013;Q8TFC4;Q8TFD0;Q8TG51	3	3	3	9.7	40.3	3.9746E-07	0	182020	74953
YNL243W	Protein SLA2;Transmembrane protein MOP2	END4;MOP2;N1102;SLA2;UFG1;YNL243W	P33338;Q02434	1	1	1	0.9	109.0	5.8907E-09	91542	73129	48146
YLR337C	Verprolin	END5;L8300.13;MDP2;VRP1;YLR337C	P37370;Q06133	2	2	2	2.6	82.6	0.0042063	803650	513830	0
YCR009C	Reduced viability upon starvation protein 161	END6;RVS161;SPE161;YCR009C;YCR9C	P25343	3	3	3	9.1	30.3	6.1639E-19	345720	513470	0
YMR296C	Long chain base biosynthesis protein 1;Serine palmitoyltransferase 1	END8;LCB1;TSC2;YMR296C	P25045	2	2	2	4.3	62.2	1.6145E-11	126320	143300	0
YGR254W	2-phospho-D-glycerate hydro-lyase 1;2-phospho-D-glycerate hydro-lyase 2;2-phosphoglycerate dehydratase 1;2-phosphoglycerate dehydratase 2;Enolase 1;Enolase 2	ENO1;ENO2;ENOA;ENOB;G9160;HSP48;YGR254W;YHR174W	P00924;P99013	20	10	10	62	46.8	0	152790000	139160000	62633000
YHR174W	2-phospho-D-glycerate hydro-lyase 1;2-phospho-D-glycerate hydro-lyase 2;2-phosphoglycerate dehydratase 1;2-phosphoglycerate dehydratase 2;Enolase;Enolase 1;Enolase 2	ENO1;ENO2;ENOA;ENOB;G9160;HSP48;YGR254W;YHR174W	D3DLC2;P00925;P99013	26	26	16	81.2	46.9	0	1385800000	525450000	410920000
YDL161W	Epsin-1	ENT1;YDL161W	Q12518	1	1	1	2	52.4	0.000011547	52958	50578	0
YJR125C	Epsin-3	ENT3;J2048;YJR125C	P47160	5	5	5	14.7	45.1	3.7697E-19	109440	210590	86037
YDR153C	Epsin-5	ENT5;YDR153C	Q03769;Q6Q5U2	1	1	1	3.2	47.3	1.0029E-20	70982	59583	46556
YMR049C	Eukaryotic ribosome biogenesis protein 1;Ribosome biogenesis protein ERB1	ERB1;YM9796.02C;YMR049C	Q04660	1	1	1	2	91.7	0.00079567	0	87861	50244
YGR175C	Squalene epoxidase;Squalene monooxygenase	ERG1;YGR175C	P32476	5	5	5	11.9	55.1	3.5855E-08	959180	1240100	548110
